"Kod";"Nazwa";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2008;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2009;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2010;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2011;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2012;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2013;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2014;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2015;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2016;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2017;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2018;[%]";
0201000;"Powiat bolesławiecki";8,0;9,3;7,4;12,8;7,9;8,1;8,3;8,1;9,4;8,0;7,8;
0202000;"Powiat dzierżoniowski";6,1;23,5;6,0;10,3;8,4;7,6;7,6;7,5;7,4;6,5;7,2;
0203000;"Powiat głogowski";7,9;9,2;6,3;10,3;6,6;7,5;8,0;7,5;7,6;7,0;8,0;
0204000;"Powiat górowski";6,2;8,4;7,8;15,0;7,0;6,5;8,5;7,2;7,2;8,0;7,9;
0205000;"Powiat jaworski";5,7;9,0;6,6;12,1;8,6;7,6;8,5;6,7;6,8;6,6;6,3;
0206000;"Powiat jeleniogórski";7,0;9,2;7,8;13,9;6,9;5,9;7,4;5,9;6,7;5,8;6,5;
0207000;"Powiat kamiennogórski";4,5;8,2;5,7;10,1;6,4;6,3;8,3;7,7;6,6;6,1;7,3;
0208000;"Powiat kłodzki";5,1;20,3;5,9;10,1;6,8;6,9;7,2;6,7;6,6;6,3;6,1;
0209000;"Powiat legnicki";7,4;8,9;6,4;11,0;7,7;7,4;8,5;8,1;7,7;7,8;7,7;
0210000;"Powiat lubański";6,0;8,4;7,2;12,2;7,2;7,7;7,8;7,1;7,8;6,8;7,4;
0211000;"Powiat lubiński";6,7;7,3;5,3;10,1;5,8;6,4;7,8;7,2;7,3;7,1;7,0;
0212000;"Powiat lwówecki";6,6;9,2;7,1;10,6;8,2;7,5;9,7;8,1;8,8;8,2;7,7;
0213000;"Powiat milicki";8,1;10,1;7,2;9,6;7,9;7,8;6,7;7,1;7,3;7,4;5,6;
0214000;"Powiat oleśnicki";6,3;7,9;6,3;11,7;7,9;6,9;7,9;8,3;7,8;6,9;5,8;
0215000;"Powiat oławski";5,4;8,8;5,9;10,6;7,0;7,2;8,1;7,1;7,5;6,1;6,1;
0216000;"Powiat polkowicki";7,4;7,1;6,0;11,2;6,2;6,7;6,9;7,4;7,4;7,1;7,9;
0217000;"Powiat strzeliński";4,9;7,1;6,4;9,0;7,4;6,8;7,6;7,4;7,4;6,9;6,0;
0218000;"Powiat średzki";5,0;5,7;5,8;12,4;7,0;6,4;7,8;7,5;7,4;7,6;6,1;
0219000;"Powiat świdnicki";5,7;12,3;5,8;8,7;6,1;6,4;7,1;6,4;6,5;6,1;6,8;
0220000;"Powiat trzebnicki";5,9;7,3;5,7;13,3;6,4;7,2;9,8;7,1;7,8;7,3;6,0;
0221000;"Powiat wałbrzyski";5,8;12,9;5,0;10,0;5,4;6,0;7,5;6,7;6,5;6,0;6,8;
0222000;"Powiat wołowski";7,6;7,3;6,6;12,7;6,5;7,0;8,4;8,3;7,2;7,2;6,8;
0223000;"Powiat wrocławski";5,7;7,0;5,2;7,6;6,0;5,8;6,4;7,1;7,1;6,1;5,5;
0224000;"Powiat ząbkowicki";5,5;14,5;7,2;11,5;9,1;6,6;8,2;7,9;7,7;7,3;7,6;
0225000;"Powiat zgorzelecki";5,5;9,0;6,7;10,3;7,5;6,6;7,9;7,4;7,4;6,6;7,1;
0226000;"Powiat złotoryjski";5,3;6,7;5,7;10,8;6,7;5,9;7,6;7,0;6,7;6,3;7,2;
0261000;"Powiat m.Jelenia Góra";7,1;7,3;6,7;10,4;6,2;7,3;8,5;7,6;7,2;6,9;9,6;
0262000;"Powiat m.Legnica";7,2;7,7;5,9;12,5;6,2;6,9;7,1;6,8;7,8;7,2;8,2;
0264000;"Powiat m.Wrocław";5,6;5,9;5,0;9,0;5,0;5,5;6,6;6,1;6,0;5,4;6,8;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;5,8;6,6;6,3;6,1;5,7;8,1;
0401000;"Powiat aleksandrowski";5,7;16,6;7,3;10,7;7,5;8,6;8,4;8,3;8,4;7,4;8,9;
0402000;"Powiat brodnicki";6,2;27,8;7,1;10,8;7,4;8,3;7,6;6,6;7,2;6,6;6,8;
0403000;"Powiat bydgoski";6,3;11,6;6,2;10,1;6,8;6,9;7,2;7,6;7,6;6,6;6,7;
0404000;"Powiat chełmiński";9,4;8,4;7,2;10,4;7,0;7,3;7,9;7,7;7,8;6,8;8,2;
0405000;"Powiat golubsko-dobrzyński";6,4;15,1;6,7;11,8;7,4;6,8;8,3;7,0;7,7;6,6;6,3;
0406000;"Powiat grudziądzki";8,1;11,3;10,1;12,2;7,3;7,4;7,9;7,8;7,7;8,0;7,1;
0407000;"Powiat inowrocławski";8,4;9,4;14,7;11,8;8,8;9,7;10,4;9,7;9,3;8,7;9,1;
0408000;"Powiat lipnowski";6,2;16,9;6,8;12,1;7,7;8,6;8,1;8,3;7,7;7,9;7,9;
0409000;"Powiat mogileński";7,5;9,7;18,2;12,4;8,2;8,3;9,3;9,4;7,7;7,4;6,8;
0410000;"Powiat nakielski";6,4;20,4;11,7;11,5;9,8;8,7;8,0;8,8;9,0;8,4;7,7;
0411000;"Powiat radziejowski";4,8;19,6;6,2;11,0;6,7;6,1;6,9;7,8;6,7;6,6;7,0;
0412000;"Powiat rypiński";6,9;13,4;7,7;11,2;6,4;7,3;8,1;7,6;7,9;6,4;6,7;
0413000;"Powiat sępoleński";6,4;25,2;7,5;12,1;7,8;6,8;8,1;8,0;8,0;8,1;6,4;
0414000;"Powiat świecki";6,0;17,6;6,6;9,7;7,8;7,8;7,4;7,2;7,7;6,6;6,2;
0415000;"Powiat toruński";7,7;9,7;7,2;10,4;8,4;8,1;8,5;8,3;9,0;8,6;7,5;
0416000;"Powiat tucholski";7,6;12,6;10,0;12,9;8,0;8,4;8,4;8,6;8,0;8,5;8,0;
0417000;"Powiat wąbrzeski";8,0;19,5;7,7;10,3;7,4;6,2;7,8;7,7;8,3;6,8;7,6;
0418000;"Powiat włocławski";4,8;14,1;5,8;11,8;6,5;7,1;8,0;8,6;7,8;8,0;7,2;
0419000;"Powiat żniński";8,7;12,7;12,4;13,5;8,2;9,1;9,8;8,9;9,9;9,5;7,5;
0461000;"Powiat m.Bydgoszcz";6,3;13,6;6,2;9,9;7,2;8,0;9,4;7,9;7,2;7,0;9,6;
0462000;"Powiat m.Grudziądz";8,4;11,6;18,5;13,5;8,6;8,1;8,7;7,5;7,7;7,8;8,4;
0463000;"Powiat m.Toruń";6,9;20,7;6,4;8,8;6,6;7,1;7,6;7,8;7,6;7,6;9,2;
0464000;"Powiat m.Włocławek";5,4;19,7;6,5;11,6;6,8;7,4;7,9;7,2;7,4;7,3;10,3;
0601000;"Powiat bialski";6,6;10,1;5,6;9,3;6,3;6,2;7,0;6,9;7,1;6,4;7,4;
0602000;"Powiat biłgorajski";3,3;10,4;4,5;8,8;6,6;6,0;6,2;7,1;7,5;6,1;6,3;
0603000;"Powiat chełmski";8,7;7,9;7,7;11,8;6,7;9,4;8,1;9,4;8,4;9,7;8,8;
0604000;"Powiat hrubieszowski";4,8;6,4;4,8;10,5;5,5;5,5;6,3;6,0;6,6;7,0;6,9;
0605000;"Powiat janowski";4,9;13,6;6,3;10,2;6,7;5,1;7,0;7,6;6,5;7,1;7,0;
0606000;"Powiat krasnostawski";8,0;7,8;7,0;12,2;8,1;6,8;7,7;7,6;8,7;8,8;8,8;
0607000;"Powiat kraśnicki";6,9;7,5;6,3;8,9;5,9;6,2;6,9;7,0;7,6;7,2;7,0;
0608000;"Powiat lubartowski";6,8;10,0;5,7;10,3;6,4;7,3;7,2;7,4;7,3;7,9;6,7;
0609000;"Powiat lubelski";5,5;7,9;6,6;8,5;6,8;6,2;7,3;7,3;7,7;7,4;6,2;
0610000;"Powiat łęczyński";9,3;7,8;7,3;8,8;7,7;8,1;8,2;8,5;8,6;8,2;7,1;
0611000;"Powiat łukowski";6,5;8,7;5,2;10,1;7,6;6,4;7,3;6,7;7,3;6,8;6,6;
0612000;"Powiat opolski";8,0;8,6;6,7;10,6;7,5;6,4;8,4;7,4;8,2;7,6;6,9;
0613000;"Powiat parczewski";6,0;7,2;5,7;11,0;6,4;6,8;7,4;8,0;7,7;7,4;7,5;
0614000;"Powiat puławski";6,8;7,8;6,5;10,7;6,4;6,6;7,0;7,1;6,3;6,4;6,3;
0615000;"Powiat radzyński";7,5;8,8;6,5;10,4;6,3;6,9;7,8;7,7;7,2;7,4;8,1;
0616000;"Powiat rycki";6,5;8,2;9,3;10,1;6,6;7,2;7,9;7,3;7,2;7,8;6,2;
0617000;"Powiat świdnicki";7,2;7,4;7,1;11,9;8,2;7,7;8,6;8,0;8,2;7,6;7,8;
0618000;"Powiat tomaszowski";3,1;7,2;4,7;10,3;5,9;5,8;6,3;5,8;5,8;6,2;6,2;
0619000;"Powiat włodawski";8,3;7,9;7,3;9,0;7,0;6,6;8,4;7,6;7,6;8,3;8,2;
0620000;"Powiat zamojski";4,6;7,1;5,5;10,4;7,3;6,3;7,1;7,1;6,8;6,8;6,3;
0661000;"Powiat m.Biała Podlaska";8,3;7,5;5,7;8,5;7,1;6,5;7,9;6,4;7,3;6,3;9,0;
0662000;"Powiat m.Chełm";9,5;8,1;7,8;10,8;8,1;8,7;8,0;8,2;7,7;7,7;10,1;
0663000;"Powiat m.Lublin";7,5;7,7;5,9;9,8;6,4;6,9;7,8;7,3;7,3;6,5;9,1;
0664000;"Powiat m.Zamość";5,9;7,6;5,5;9,2;5,6;6,3;7,5;6,3;6,6;6,2;8,4;
0801000;"Powiat gorzowski";14,3;9,0;6,3;9,3;7,3;7,4;8,6;8,0;8,0;7,4;7,8;
0802000;"Powiat krośnieński";14,8;14,6;7,0;11,1;7,5;7,7;9,2;8,8;8,5;7,8;8,0;
0803000;"Powiat międzyrzecki";14,3;12,9;6,1;10,7;7,1;6,9;8,2;8,0;7,3;7,3;9,3;
0804000;"Powiat nowosolski";11,7;10,6;8,2;13,2;8,8;9,0;9,2;8,7;9,2;8,9;8,9;
0805000;"Powiat słubicki";13,8;9,6;7,0;15,3;8,3;7,4;7,4;7,0;7,8;6,7;8,9;
0806000;"Powiat strzelecko-drezdenecki";15,9;11,0;7,6;12,3;8,4;7,0;8,7;7,5;7,5;7,0;6,9;
0807000;"Powiat sulęciński";24,7;9,3;8,1;10,8;7,7;7,3;9,5;8,7;10,9;9,2;8,5;
0808000;"Powiat świebodziński";22,4;11,9;7,2;13,2;7,0;6,3;7,2;7,4;6,7;7,2;7,1;
0809000;"Powiat zielonogórski";15,4;9,5;6,8;11,0;7,3;7,0;9,0;8,9;8,6;8,5;7,7;
0810000;"Powiat żagański";12,5;14,7;6,9;11,1;7,4;6,9;8,2;7,5;8,2;7,6;7,4;
0811000;"Powiat żarski";20,4;11,5;6,6;12,8;7,6;7,5;8,1;7,5;8,0;7,9;8,8;
0812000;"Powiat wschowski";9,2;9,7;6,2;9,7;8,2;7,5;8,3;8,0;7,2;6,7;7,0;
0861000;"Powiat m.Gorzów Wielkopolski";7,7;8,7;6,2;10,4;6,2;7,0;8,2;7,5;7,4;6,8;10,0;
0862000;"Powiat m.Zielona Góra";7,6;10,6;6,2;9,1;5,4;6,0;7,4;6,8;7,3;6,9;9,8;
1001000;"Powiat bełchatowski";7,7;10,5;6,5;9,9;6,0;7,0;8,2;7,3;7,5;7,2;7,0;
1002000;"Powiat kutnowski";6,8;21,5;8,9;10,8;7,2;8,0;8,1;7,7;6,7;7,1;8,0;
1003000;"Powiat łaski";7,5;12,5;5,9;10,3;7,3;6,8;7,8;7,1;7,7;7,2;7,2;
1004000;"Powiat łęczycki";6,0;27,6;6,1;9,3;5,8;6,9;7,8;7,6;7,4;6,5;7,9;
1005000;"Powiat łowicki";6,7;13,9;5,7;9,4;7,0;6,6;7,7;7,2;6,9;7,3;6,4;
1006000;"Powiat łódzki wschodni";6,4;21,9;5,7;8,9;7,1;7,0;7,4;7,1;7,8;6,3;6,3;
1007000;"Powiat opoczyński";11,2;14,7;7,0;12,3;11,7;7,0;8,4;7,7;8,2;8,0;6,6;
1008000;"Powiat pabianicki";6,5;30,8;8,4;10,3;6,7;7,3;8,5;8,1;7,9;6,6;6,9;
1009000;"Powiat pajęczański";11,7;10,8;6,3;9,2;7,2;6,4;6,7;6,9;6,7;7,2;6,3;
1010000;"Powiat piotrkowski";11,0;11,5;6,8;10,6;7,7;8,3;7,8;8,3;7,3;8,1;5,8;
1011000;"Powiat poddębicki";6,5;25,6;6,1;10,0;6,1;6,7;8,6;7,8;8,6;6,9;6,8;
1012000;"Powiat radomszczański";9,1;12,9;7,3;11,5;8,0;8,6;8,9;7,7;7,5;6,9;6,8;
1013000;"Powiat rawski";5,6;10,3;5,5;10,4;5,2;5,7;8,2;7,2;7,0;5,5;6,0;
1014000;"Powiat sieradzki";8,7;18,5;7,0;9,0;7,5;8,6;7,9;7,2;8,1;7,7;8,4;
1015000;"Powiat skierniewicki";3,9;11,3;4,3;9,4;5,8;4,6;7,5;5,7;6,0;6,2;4,5;
1016000;"Powiat tomaszowski";10,5;13,1;7,0;10,8;9,0;7,6;8,4;7,5;7,7;7,6;7,7;
1017000;"Powiat wieluński";5,5;17,7;5,9;11,9;6,7;6,9;8,2;6,7;6,5;6,7;6,3;
1018000;"Powiat wieruszowski";5,6;16,3;5,7;8,8;6,0;6,1;7,7;7,4;7,2;6,8;6,2;
1019000;"Powiat zduńskowolski";7,6;17,5;7,4;10,6;7,9;8,2;9,3;8,1;7,9;7,5;7,9;
1020000;"Powiat zgierski";6,2;31,0;6,7;10,4;7,1;8,1;8,3;7,9;7,5;7,3;7,7;
1021000;"Powiat brzeziński";9,3;14,9;7,7;10,3;7,3;8,0;8,5;8,1;8,2;6,7;7,4;
1061000;"Powiat m.Łódź";6,6;20,9;6,2;9,8;6,1;7,1;7,8;7,3;7,4;7,0;8,9;
1062000;"Powiat m.Piotrków Trybunalski";11,7;11,8;7,5;10,1;6,9;8,0;8,4;7,5;7,5;7,8;8,2;
1063000;"Powiat m.Skierniewice";6,2;7,0;6,3;12,7;6,0;7,3;8,9;7,1;7,7;6,5;8,0;
1201000;"Powiat bocheński";6,4;5,7;5,5;8,9;6,2;6,9;7,7;7,8;7,5;7,2;5,5;
1202000;"Powiat brzeski";6,4;6,3;6,7;8,8;6,8;6,7;7,7;7,9;8,1;7,2;6,0;
1203000;"Powiat chrzanowski";6,3;7,4;5,7;9,8;6,2;6,6;7,4;7,8;6,9;7,4;6,5;
1204000;"Powiat dąbrowski";5,3;5,8;7,0;10,7;7,3;8,3;7,9;7,8;8,0;7,5;5,7;
1205000;"Powiat gorlicki";8,1;7,1;8,1;9,5;8,3;7,8;9,4;9,1;9,2;9,1;7,0;
1206000;"Powiat krakowski";6,2;5,4;5,0;8,6;5,6;6,4;6,9;6,8;6,9;6,3;5,0;
1207000;"Powiat limanowski";7,2;7,4;7,9;10,3;8,9;8,5;8,4;9,2;8,3;9,3;7,3;
1208000;"Powiat miechowski";2,9;6,5;4,8;10,3;4,8;6,3;7,1;7,1;6,1;5,9;5,3;
1209000;"Powiat myślenicki";4,9;6,9;5,2;7,9;6,8;7,0;6,7;6,9;6,8;6,5;5,1;
1210000;"Powiat nowosądecki";7,1;7,3;7,7;10,5;7,9;8,7;9,9;9,6;9,6;9,6;7,5;
1211000;"Powiat nowotarski";8,0;7,6;7,6;10,8;7,5;9,0;8,7;9,2;9,1;8,5;7,3;
1212000;"Powiat olkuski";6,2;8,0;6,0;10,8;5,3;6,3;7,9;6,5;6,8;6,1;5,5;
1213000;"Powiat oświęcimski";5,7;6,0;4,9;9,9;5,3;6,5;7,4;7,0;7,2;6,8;5,8;
1214000;"Powiat proszowicki";3,8;7,4;5,2;8,4;4,6;5,7;8,3;6,7;7,1;6,5;5,3;
1215000;"Powiat suski";4,8;7,7;4,9;8,8;5,9;6,7;6,9;7,4;6,5;6,7;5,8;
1216000;"Powiat tarnowski";6,9;6,2;6,3;9,9;6,7;7,6;8,5;8,5;7,9;8,2;5,9;
1217000;"Powiat tatrzański";4,9;5,5;7,5;10,5;5,5;6,2;7,7;7,8;7,1;6,6;5,2;
1218000;"Powiat wadowicki";5,4;6,8;6,1;8,5;5,6;6,9;6,3;7,1;6,4;6,3;5,2;
1219000;"Powiat wielicki";5,6;6,8;4,6;8,4;5,6;6,3;6,8;7,0;7,3;6,5;5,2;
1261000;"Powiat m.Kraków";6,8;4,9;5,2;8,0;4,9;5,8;6,4;6,0;5,6;5,4;7,2;
1262000;"Powiat m.Nowy Sącz";6,7;7,4;6,8;10,5;8,3;7,6;9,1;7,5;7,5;7,2;8,5;
1263000;"Powiat m.Tarnów";8,1;6,7;7,0;10,4;6,7;7,6;8,3;7,6;7,2;6,6;7,1;
1401000;"Powiat białobrzeski";4,3;36,9;6,6;9,6;6,5;6,4;7,0;6,7;5,5;6,8;7,9;
1402000;"Powiat ciechanowski";7,1;15,2;7,8;10,2;7,7;7,6;8,9;8,0;8,8;9,2;9,6;
1403000;"Powiat garwoliński";6,3;12,8;6,8;9,7;6,8;6,5;8,1;7,9;7,2;7,1;6,0;
1404000;"Powiat gostyniński";8,9;14,1;7,1;14,1;12,5;8,0;9,9;9,5;9,4;8,9;8,2;
1405000;"Powiat grodziski";4,7;5,9;4,8;8,3;5,8;5,8;7,3;6,5;7,0;7,3;7,0;
1406000;"Powiat grójecki";3,7;16,7;4,9;11,1;5,6;5,8;6,6;6,2;5,9;5,6;5,8;
1407000;"Powiat kozienicki";5,5;12,9;4,9;9,0;6,3;6,2;7,5;6,8;6,5;7,2;5,8;
1408000;"Powiat legionowski";4,0;8,7;4,2;9,6;6,0;6,5;7,7;6,9;7,2;6,6;6,9;
1409000;"Powiat lipski";3,2;7,9;5,2;9,3;5,8;6,9;5,4;6,2;6,2;6,4;6,1;
1410000;"Powiat łosicki";4,1;15,1;5,9;8,9;6,7;7,5;7,1;6,4;6,9;7,5;7,2;
1411000;"Powiat makowski";5,5;17,8;8,0;11,1;7,9;6,5;7,0;7,4;6,4;7,9;7,5;
1412000;"Powiat miński";5,9;12,3;5,2;9,8;6,2;6,8;7,3;7,1;7,1;7,1;6,7;
1413000;"Powiat mławski";8,2;12,9;8,0;13,7;9,2;8,1;7,6;6,9;7,0;6,7;7,2;
1414000;"Powiat nowodworski";4,0;19,3;5,6;11,2;6,4;6,5;7,8;6,1;6,4;6,5;6,3;
1415000;"Powiat ostrołęcki";6,0;21,3;6,9;11,2;7,5;8,3;8,6;9,4;9,1;8,7;7,1;
1416000;"Powiat ostrowski";6,2;11,2;5,3;9,0;5,3;5,9;6,4;6,6;6,8;6,9;6,4;
1417000;"Powiat otwocki";3,5;9,2;5,6;9,7;6,2;6,0;7,7;6,3;7,0;6,2;6,7;
1418000;"Powiat piaseczyński";3,6;8,8;4,1;6,8;6,2;4,8;6,7;5,7;6,2;5,7;6,1;
1419000;"Powiat płocki";7,8;10,8;7,7;11,2;7,9;8,3;8,9;8,6;8,4;8,4;8,2;
1420000;"Powiat płoński";8,2;11,7;7,5;11,0;8,3;7,3;8,4;8,3;7,6;8,2;7,5;
1421000;"Powiat pruszkowski";3,0;5,1;3,7;9,3;5,0;5,4;6,5;6,1;5,8;5,8;6,8;
1422000;"Powiat przasnyski";6,6;18,8;7,3;11,8;7,5;8,0;9,0;7,6;8,0;7,9;6,8;
1423000;"Powiat przysuski";5,6;24,9;8,5;12,3;7,9;8,5;8,3;8,0;9,0;8,6;8,1;
1424000;"Powiat pułtuski";8,2;11,3;7,8;14,4;7,3;9,1;8,0;8,5;7,7;8,6;8,3;
1425000;"Powiat radomski";6,9;12,3;7,5;13,2;8,7;9,1;9,9;9,5;8,6;8,7;7,9;
1426000;"Powiat siedlecki";6,1;6,3;4,2;8,5;6,7;5,8;7,1;6,5;6,9;6,7;5,8;
1427000;"Powiat sierpecki";8,4;15,5;8,3;11,7;7,6;8,1;8,2;8,6;8,0;7,6;7,9;
1428000;"Powiat sochaczewski";4,1;11,2;5,4;8,2;5,3;6,0;6,7;6,7;6,8;6,0;5,2;
1429000;"Powiat sokołowski";5,7;8,2;4,8;7,9;6,5;5,7;7,2;6,9;5,8;6,1;6,1;
1430000;"Powiat szydłowiecki";8,1;28,0;9,9;12,6;10,6;10,9;10,1;10,1;9,8;9,6;9,6;
1432000;"Powiat warszawski zachodni";3,4;9,5;4,3;7,0;4,9;5,6;6,0;5,4;6,1;5,7;6,4;
1433000;"Powiat węgrowski";5,9;9,4;5,8;8,6;6,5;7,5;9,4;7,6;7,2;6,9;7,3;
1434000;"Powiat wołomiński";4,5;9,7;5,5;8,4;5,8;7,1;7,7;7,2;7,3;6,7;6,0;
1435000;"Powiat wyszkowski";5,8;19,4;6,4;12,6;7,5;7,2;7,0;7,6;6,8;6,8;6,5;
1436000;"Powiat zwoleński";5,5;18,3;7,0;12,9;6,6;9,8;7,0;5,7;7,7;6,4;6,5;
1437000;"Powiat żuromiński";9,4;14,9;9,6;16,4;9,2;10,4;8,7;8,3;6,5;7,1;7,1;
1438000;"Powiat żyrardowski";3,4;8,6;6,7;9,7;5,6;6,8;8,1;6,6;7,3;6,5;6,4;
1461000;"Powiat m.Ostrołęka";6,3;10,7;6,3;10,9;6,9;7,3;7,7;7,0;6,9;6,5;10,1;
1462000;"Powiat m.Płock";9,7;9,4;8,5;10,4;7,2;8,4;8,9;8,6;8,1;7,5;9,8;
1463000;"Powiat m.Radom";7,6;8,1;8,6;13,7;7,6;8,4;8,8;8,5;8,1;7,8;9,7;
1464000;"Powiat m.Siedlce";7,4;8,1;6,3;15,3;6,2;6,8;7,5;7,4;7,0;6,5;8,6;
1465000;"Powiat m. st. Warszawa";3,4;5,7;3,9;8,8;4,3;4,5;5,4;4,8;4,9;4,8;9,0;
1601000;"Powiat brzeski";5,1;7,6;5,5;9,2;6,1;6,5;7,6;6,5;7,1;6,4;5,8;
1602000;"Powiat głubczycki";6,0;7,1;4,7;10,1;5,4;7,2;6,7;5,6;5,3;5,9;5,9;
1603000;"Powiat kędzierzyńsko-kozielski";5,2;8,3;4,8;8,8;5,5;6,1;5,6;6,3;5,9;5,9;6,1;
