"Kod";"Nazwa";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2005;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2006;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2007;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2008;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2009;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2010;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2011;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2012;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2013;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2014;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2015;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2016;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2017;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2018;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2019;[m2]";
1605000;"Powiat krapkowicki";18464;10525;18930;12387;36686;23926;15509;63520;24593;18735;19200;25518;49408;55365;;
1606000;"Powiat namysłowski";1873;9800;32947;16777;1807;3052;6591;11742;11846;5176;19387;8314;4762;6922;;
1607000;"Powiat nyski";17191;6739;17426;19942;21259;24596;32238;27132;30784;16259;13743;18814;10171;24080;;
1608000;"Powiat oleski";5535;9424;28394;40673;26198;21991;26690;26398;22640;24684;17799;34366;16736;39409;;
1609000;"Powiat opolski";17593;30918;34749;33862;53697;49708;54487;48951;47003;30780;39367;41002;82684;55174;;
1610000;"Powiat prudnicki";8975;20042;11688;7480;6856;12292;6248;2132;11983;14547;13713;12133;5437;11581;;
1611000;"Powiat strzelecki";5683;2153;12811;6819;55479;2818;12811;29734;10074;24508;54243;26484;72112;11554;;
1661000;"Powiat m.Opole";17991;39167;33527;86396;85964;28018;40222;36155;63413;107813;31441;53027;92860;59157;;
1801000;"Powiat bieszczadzki";4078;2938;4230;6978;4802;3991;5625;2018;5130;10647;4857;2516;2448;2483;;
1802000;"Powiat brzozowski";3832;5162;7783;6651;3699;12661;11193;12089;2034;4146;16595;7282;4202;5702;;
1803000;"Powiat dębicki";25548;50734;18603;72006;30032;36663;34662;25968;35835;61565;67630;37560;88883;47803;;
1804000;"Powiat jarosławski";20081;17319;20885;18464;17712;16347;64387;27176;32083;53845;27667;41352;20588;37261;;
1805000;"Powiat jasielski";8964;13961;23719;22913;11504;9045;12413;5387;10333;28858;7893;11146;8030;19278;;
1806000;"Powiat kolbuszowski";11171;8318;4385;13051;9638;15906;10362;14791;9806;17179;13103;19068;20037;21553;;
1807000;"Powiat krośnieński";9538;13395;9375;14946;12580;22946;15489;15136;9442;18956;23101;12299;14229;3196;;
1808000;"Powiat leżajski";5335;10809;4972;16602;13677;13132;10469;13150;12909;10342;14683;6822;8699;17929;;
1809000;"Powiat lubaczowski";10187;10055;9675;7745;4925;10193;12922;5676;26493;10530;22463;6801;24452;9898;;
1810000;"Powiat łańcucki";19457;17260;20679;35896;7974;16418;21217;32560;25051;12397;33858;30605;8210;18778;;
1811000;"Powiat mielecki";110373;30322;34498;81090;60669;3574;1648;4161;1919;8404;13169;97113;65209;82479;;
1812000;"Powiat niżański";6730;16325;16821;11115;8944;19351;17687;16811;9189;10595;10988;8977;15807;20145;;
1813000;"Powiat przemyski";3031;14026;15267;11064;7846;4727;10057;7313;8703;4809;14401;8519;7167;14030;;
1814000;"Powiat przeworski";12668;8011;14159;14852;9532;9901;11522;16240;15591;19154;19115;8070;12047;20738;;
1815000;"Powiat ropczycko-sędziszowski";9843;16094;14102;19390;18791;9729;21479;16699;21372;31190;14021;26449;18480;18796;;
1816000;"Powiat rzeszowski";48522;64603;32945;60573;59183;73982;100794;98432;52923;91453;111632;74796;103830;53080;;
1817000;"Powiat sanocki";17145;18973;11722;18050;28171;16521;21935;18562;26900;19961;35581;18294;14215;25028;;
1818000;"Powiat stalowowolski";19981;32606;20329;47691;20274;33610;34351;41828;30356;14637;65836;61872;37711;60824;;
1819000;"Powiat strzyżowski";10739;11684;5482;10877;6106;3852;5183;4694;5340;8910;5512;8562;7279;3671;;
1820000;"Powiat tarnobrzeski";5807;5575;7867;10481;19289;7594;16859;78977;8756;13134;47225;4314;26896;7383;;
1821000;"Powiat leski";6334;12726;7256;7778;5820;7998;9557;12297;20379;17308;12260;4416;9281;5071;;
1861000;"Powiat m.Krosno";13352;12993;17226;14669;12777;10801;12137;34790;13033;26032;13020;39078;38104;15609;;
1862000;"Powiat m.Przemyśl";5170;1814;8485;8432;26184;66802;8235;18681;10724;6253;7306;14244;10628;12233;;
1863000;"Powiat m.Rzeszów";87308;47786;37382;40943;52820;127326;150382;211047;72068;76715;59076;55551;56192;78046;;
1864000;"Powiat m.Tarnobrzeg";8745;8998;7690;14310;11209;3202;17334;12175;18947;11642;5081;19632;26139;10993;;
2001000;"Powiat augustowski";22653;19265;33474;18827;20382;18768;11985;26294;24917;31259;22252;22190;23517;21990;;
2002000;"Powiat białostocki";25327;26965;32924;29688;39560;36204;34395;46695;41069;39448;36791;37586;81240;42920;;
2003000;"Powiat bielski";14722;20977;21545;20583;31340;10353;22385;167264;48324;23661;14858;19272;30658;38134;;
2004000;"Powiat grajewski";15044;15406;13628;7908;10918;18903;7983;17602;16166;18204;23131;19263;21276;16588;;
2005000;"Powiat hajnowski";24799;29695;22377;48309;18968;31027;8960;8157;13088;26144;29532;10507;7075;21047;;
2006000;"Powiat kolneński";18950;17950;23188;23759;19440;18758;25409;23996;34656;29783;33375;16805;41914;27500;;
2007000;"Powiat łomżyński";28536;22024;34267;32410;21054;34966;28029;31782;28052;31471;30760;27817;38666;37954;;
2008000;"Powiat moniecki";14786;15486;20425;13641;6693;23280;16635;13042;23690;47302;34184;23690;21424;36369;;
2009000;"Powiat sejneński";4251;12239;12397;6974;5519;9823;17475;7254;5495;15500;8245;6901;9846;12140;;
2010000;"Powiat siemiatycki";7427;9040;16198;8746;16117;20420;27794;15825;31320;20226;23579;14486;9004;28840;;
2011000;"Powiat sokólski";27338;28967;30531;19925;27970;20490;32185;32224;27860;49919;55215;58255;70275;57728;;
2012000;"Powiat suwalski";10774;20586;24864;14868;11083;14967;14804;18183;18135;21545;10822;20104;13214;22791;;
2013000;"Powiat wysokomazowiecki";19978;25267;27525;34800;27941;37205;25983;20030;25484;32216;44511;43564;74953;67741;;
2014000;"Powiat zambrowski";6163;14880;21959;11277;26115;41302;23704;48043;24508;38013;36614;31535;27269;28422;;
2061000;"Powiat m.Białystok";62677;54723;187147;147788;47034;64433;70848;121450;74141;177718;165389;78923;79928;90066;;
2062000;"Powiat m.Łomża";16655;16318;11158;25536;12050;10398;22325;17106;45118;21869;18629;26908;8907;15480;;
2063000;"Powiat m.Suwałki";8259;21834;763385;25249;26313;46328;33492;22432;37958;16054;40098;59832;45169;53141;;
2201000;"Powiat bytowski";6528;8568;3778;3967;9052;10835;3983;6560;11993;4196;11563;4337;8343;15630;;
2202000;"Powiat chojnicki";35899;27447;28843;31826;15719;37022;39904;41608;52630;19366;18773;29196;35329;30334;;
2203000;"Powiat człuchowski";12334;17160;39454;14907;7708;9317;13738;21151;17719;18880;83624;22558;18325;10492;;
2204000;"Powiat gdański";39643;46380;134287;70155;52532;44298;38805;83421;49801;91353;64441;88606;84205;68363;;
2205000;"Powiat kartuski";40183;51162;50166;46369;44205;67649;58840;61243;54100;44919;63614;50937;64152;73948;;
2206000;"Powiat kościerski";16745;19695;24970;27587;26172;25621;13905;14206;26986;29114;25146;20904;21736;16941;;
2207000;"Powiat kwidzyński";21097;17891;12103;12156;11601;13622;4839;13074;15919;9170;21568;7814;8879;18224;;
2208000;"Powiat lęborski";9810;18014;17763;15173;33395;10966;14212;11260;4897;12020;15258;11546;7567;22677;;
2209000;"Powiat malborski";4454;13663;14467;13064;8200;15160;16740;10929;11772;13084;29261;19025;10452;7151;;
2210000;"Powiat nowodworski";12930;8630;2692;1992;792;8886;16294;14314;12788;16753;7417;7482;10695;17168;;
2211000;"Powiat pucki";20224;27092;16508;17008;20099;21935;15136;10628;23797;39268;22970;15919;32921;15716;;
2212000;"Powiat słupski";23033;58952;9152;37377;36816;16036;36337;42558;51917;54607;47579;46570;32081;57128;;
2213000;"Powiat starogardzki";38612;20893;25724;46817;16197;25778;23178;19519;53571;26999;108152;37687;41167;28795;;
2214000;"Powiat tczewski";0;64308;80564;40758;1206;5012;12407;27981;65107;47968;42563;55029;27323;59659;;
2215000;"Powiat wejherowski";68014;63430;38784;43525;87970;50658;79766;42757;41666;28189;38244;53697;66880;47321;;
2216000;"Powiat sztumski";4019;6308;10813;10323;3959;6880;11436;6120;18276;11884;10120;23742;4088;9022;;
2261000;"Powiat m.Gdańsk";114690;74274;166044;183392;66836;116049;249567;258516;218352;134800;296840;223645;271631;507398;;
2262000;"Powiat m.Gdynia";21105;48147;43595;43616;114958;37500;8950;36829;194849;108752;60332;64679;49996;24513;;
2263000;"Powiat m.Słupsk";10828;17939;35733;88181;21351;35314;61585;40376;17638;22519;15822;34629;8852;20422;;
2264000;"Powiat m.Sopot";15975;9824;18965;26526;21890;51818;4979;15811;26015;4290;4153;3860;3175;6382;;
2401000;"Powiat będziński";75192;33057;9189;86597;24946;20042;14236;20089;25378;18793;16974;18922;63777;40972;;
2402000;"Powiat bielski";26711;27804;37612;52239;23808;21590;32326;30709;28509;27846;35690;31267;64495;25785;;
2403000;"Powiat cieszyński";92667;16444;28006;35073;14492;34239;38891;27512;43329;19958;23453;54264;45524;49461;;
2404000;"Powiat częstochowski";20627;28073;40698;46802;31456;41939;45286;56338;36369;46278;32344;50856;40187;40529;;
2405000;"Powiat gliwicki";12210;95012;24542;17929;52000;24163;19146;118571;18160;48175;32509;21238;59919;25197;;
2406000;"Powiat kłobucki";12116;9672;7979;19254;23345;21800;17038;2680;9093;10048;5788;6529;10929;14705;;
2407000;"Powiat lubliniecki";23140;18214;34305;32301;18982;26310;24620;22517;24216;30769;31757;24831;27036;58913;;
2408000;"Powiat mikołowski";19834;14905;13482;17338;41969;31891;20785;31844;24041;22288;18777;15046;16056;10938;;
2409000;"Powiat myszkowski";21792;12178;17334;23487;14057;15788;38662;17022;12461;13600;14028;8915;28956;25912;;
2410000;"Powiat pszczyński";9889;23321;22222;12956;29836;15272;14465;12942;46864;32124;7741;25529;26187;21157;;
2411000;"Powiat raciborski";4900;13539;29216;29523;26736;12577;18412;21282;21723;1626;10574;11807;19342;29077;;
2412000;"Powiat rybnicki";16448;20112;22040;14274;14684;14417;15182;12376;11775;12262;23639;7107;9858;11206;;
2413000;"Powiat tarnogórski";15101;48260;41590;37821;43259;32591;29501;36210;19076;45712;27496;50551;30971;82439;;
2414000;"Powiat bieruńsko-lędziński";5291;16333;2378;19810;9249;14562;12003;8727;9552;36217;16890;8211;29445;14364;;
2415000;"Powiat wodzisławski";26063;33425;34643;25856;19411;26157;25622;39279;32088;31850;36382;30901;19284;19626;;
2416000;"Powiat zawierciański";23953;21943;13877;24031;24599;20030;21081;53948;22151;30367;23493;8667;20108;27490;;
2417000;"Powiat żywiecki";35929;1799;1662;31152;1362;2624;2878;1670;2377;1644;2171;2390;1888;2206;;
2461000;"Powiat m.Bielsko-Biała";57242;98961;77802;89535;56753;53162;51167;35047;48421;50345;90232;42339;22136;51010;;
2462000;"Powiat m.Bytom";5784;14660;17329;5474;3597;80936;9130;9949;14160;20816;14424;18685;12567;26329;;
2463000;"Powiat m.Chorzów";36219;88754;13161;47102;102401;15565;31342;26073;24936;16858;15285;41755;42254;17479;;
2464000;"Powiat m.Częstochowa";62003;47231;61781;65834;195282;59309;77274;100917;75904;69242;45681;68710;85775;70861;;
2465000;"Powiat m.Dąbrowa Górnicza";14301;107333;53249;68769;12753;47693;17686;12841;34627;29359;17159;29148;59745;108712;;
2466000;"Powiat m.Gliwice";76388;178280;154095;150352;73838;106735;102639;101557;173613;103344;91814;170639;149215;189506;;
2467000;"Powiat m.Jastrzębie-Zdrój";17322;18226;12519;30780;42717;35806;30839;10942;12162;9404;13503;9034;11468;7503;;
2468000;"Powiat m.Jaworzno";5331;6262;747;3660;30601;28504;37164;13117;9042;29025;96707;13799;11867;23211;;
2469000;"Powiat m.Katowice";147571;13001;70044;91898;83982;136757;69596;95939;254680;129741;156265;83315;91528;192870;;
2470000;"Powiat m.Mysłowice";15251;5731;5750;13120;70170;20179;9569;37665;10257;10399;10146;19243;12886;1443;;
2471000;"Powiat m.Piekary Śląskie";2549;5316;11385;13095;5378;9417;4209;9946;9759;24172;6284;1314;9439;13059;;
2472000;"Powiat m.Ruda Śląska";7054;19823;18460;35753;19173;12852;14623;57095;16634;39323;24256;14104;45976;15689;;
2473000;"Powiat m.Rybnik";41614;41066;89498;25976;41492;22502;23349;25333;26566;34436;38081;17223;12257;20236;;
2474000;"Powiat m.Siemianowice Śląskie";15719;22887;60142;20132;29963;5858;5065;9343;8425;13905;14447;23879;19431;59552;;
2475000;"Powiat m.Sosnowiec";58424;62575;24316;85189;72896;46376;19753;13611;35228;106904;109767;101859;241116;226726;;
2476000;"Powiat m.Świętochłowice";5522;1871;19079;9930;1378;14865;0;3021;4758;6549;9752;6708;24729;4036;;
2477000;"Powiat m.Tychy";60905;77783;81619;155661;86722;56372;46383;53643;54982;55361;82710;87411;98773;135106;;
2478000;"Powiat m.Zabrze";11167;1718;58107;42035;23180;24080;51136;22107;50611;24454;40016;84292;46775;83795;;
2479000;"Powiat m.Żory";21016;23132;54537;27951;22450;26223;12741;32562;28799;33055;27578;51503;26042;48274;;
2601000;"Powiat buski";15425;10898;10879;17919;17091;13571;16015;23133;24801;27234;32254;7868;13064;13342;;
2602000;"Powiat jędrzejowski";11889;21406;13217;15607;5316;26852;6798;21062;54842;36519;34277;34209;29019;31857;;
2603000;"Powiat kazimierski";3820;4954;3614;4274;2576;7368;9766;6678;11445;6522;5549;4260;5006;7439;;
2604000;"Powiat kielecki";31783;25833;17681;30361;12660;36802;4081;34811;61448;51775;44713;88418;35979;48291;;
2605000;"Powiat konecki";27732;35973;25202;28097;18348;38756;45019;24902;19122;12078;28069;23783;18782;36508;;
2606000;"Powiat opatowski";12307;9239;6779;8648;10599;19357;11246;14074;14500;16118;17872;11193;6832;13517;;
2607000;"Powiat ostrowiecki";8099;15498;25830;57491;10204;14587;32849;12822;22618;18074;20982;14390;28377;22287;;
2608000;"Powiat pińczowski";12661;17847;9875;7903;8420;20500;10073;12923;11025;16340;14492;6364;16216;15322;;
2609000;"Powiat sandomierski";5659;2774;4583;5088;3570;15126;21336;26410;34310;46412;26587;31743;14105;19307;;
2610000;"Powiat skarżyski";3671;6550;8738;19116;10538;11355;24855;2940;14057;5633;12064;4760;7658;6902;;
2611000;"Powiat starachowicki";29751;6635;19949;34191;10431;24122;13342;25590;10015;46623;33269;17344;18605;45530;;
2612000;"Powiat staszowski";8958;14604;15411;22597;26828;12689;18184;28697;13224;16968;21638;22920;27293;38000;;
2613000;"Powiat włoszczowski";11609;19406;26885;21457;24953;15017;13801;15032;19228;16228;18067;24347;32760;20809;;
2661000;"Powiat m.Kielce";42225;82449;60328;74580;98164;62146;181537;67960;39986;73294;55750;34707;24745;75937;;
2801000;"Powiat bartoszycki";8106;15427;20011;5470;6187;8536;7042;21932;12290;16121;13102;18366;6251;6135;;
2802000;"Powiat braniewski";9746;5009;9560;14430;6808;9820;18657;7614;18197;18319;5080;11843;5410;9614;;
2803000;"Powiat działdowski";27655;23876;24370;26424;19404;24812;27572;23014;27410;31951;34489;71677;31190;21618;;
2804000;"Powiat elbląski";20161;11172;18817;61358;17737;22796;18884;42437;35870;18657;30620;31984;29503;27729;;
2805000;"Powiat ełcki";24373;16998;22965;17873;27080;15514;17448;35340;15506;29740;19190;31606;10727;33883;;
2806000;"Powiat giżycki";17784;16409;17337;400;4088;8017;7285;6312;8459;4988;6605;5299;2159;3865;;
2807000;"Powiat iławski";20320;30419;47916;65296;32499;22692;27706;39762;60451;24835;41298;41134;48901;91057;;
2808000;"Powiat kętrzyński";11224;5609;8149;11792;17780;14009;6489;6785;20520;14683;13354;10615;5148;11384;;
2809000;"Powiat lidzbarski";13655;3836;5302;9715;4448;7872;7676;7499;7578;6859;22039;13986;21292;8992;;
2810000;"Powiat mrągowski";16685;13087;20443;23626;22944;12510;12919;24330;34624;20146;40260;18007;14490;14752;;
2811000;"Powiat nidzicki";11070;9410;8804;9496;6636;20048;10559;19739;11193;13996;20528;19438;28500;19921;;
2812000;"Powiat nowomiejski";16991;24558;43543;30042;27895;27982;19947;23935;28755;27345;35032;29392;45948;31876;;
2813000;"Powiat olecki";7758;24978;35660;17365;11298;30878;15853;24760;18579;21043;14276;12863;11027;34889;;
2814000;"Powiat olsztyński";17393;27314;37631;26058;18828;24823;54428;27522;26934;23294;30161;33124;84947;150643;;
2815000;"Powiat ostródzki";34029;47584;22441;27982;30280;34169;31062;52715;45711;21399;68281;47694;28832;32885;;
2816000;"Powiat piski";15302;19633;22594;17541;18647;17739;19366;22227;11645;11986;26876;22624;11256;48645;;
2817000;"Powiat szczycieński";25861;30111;29802;78169;12465;31580;29631;24529;30859;27413;40428;31204;25824;21399;;
2818000;"Powiat gołdapski";8020;23718;9875;13375;5998;16557;6876;12654;6174;5763;9499;13135;16953;3973;;
2819000;"Powiat węgorzewski";4490;6232;4469;2991;6268;4855;3211;16326;465;1709;8631;4219;4356;7896;;
2861000;"Powiat m.Elbląg";38200;34826;9368;1888;20508;12203;38293;53417;9124;13436;115462;16119;24446;17205;;
2862000;"Powiat m.Olsztyn";117245;22157;50852;26887;22762;19615;33544;52067;26167;142046;79517;13533;26764;30438;;
3001000;"Powiat chodzieski";14956;10573;26208;28564;23807;14604;20720;51185;12569;32895;19917;62173;40102;40114;;
3002000;"Powiat czarnkowsko-trzcianecki";30513;41391;42301;38595;11408;34982;69363;31531;23726;50207;39572;39197;23022;24260;;
3003000;"Powiat gnieźnieński";45211;37455;43846;68362;51749;29431;31233;44978;15749;26170;58259;58801;57140;76772;;
3004000;"Powiat gostyński";37865;23366;32578;29361;9537;26997;44412;55375;48704;66665;58938;33858;93382;65412;;
3005000;"Powiat grodziski";27057;37288;42550;33568;22346;17424;47495;17405;42654;44947;42515;42622;33730;32230;;
3006000;"Powiat jarociński";19349;24553;40811;27942;23999;22278;24585;22381;29003;41936;44290;25925;25872;27125;;
3007000;"Powiat kaliski";74500;95545;172636;251272;219479;77740;215346;141873;32904;251737;280099;104059;125522;219431;;
3008000;"Powiat kępiński";43851;48066;32605;58471;42293;35712;65017;42582;75353;83053;91391;102351;100812;69051;;
3009000;"Powiat kolski";26114;27883;66539;24872;35301;10033;23938;19609;19576;27371;32734;15621;31756;23828;;
3010000;"Powiat koniński";28330;36545;52964;84833;45188;55873;38172;41599;9112;92818;42186;30784;122835;73490;;
3011000;"Powiat kościański";25089;40123;42379;24024;17711;9650;27125;50099;15335;27244;33891;22045;27409;45316;;
3012000;"Powiat krotoszyński";19922;36705;48405;62588;25281;30500;34030;45726;44298;46658;55486;38279;60945;24765;;
3013000;"Powiat leszczyński";4901;8010;26355;20719;17847;22929;24187;39842;18380;20786;29498;33541;90362;59630;;
3014000;"Powiat międzychodzki";14025;10440;9947;7826;3913;6169;12605;9132;11318;8303;22503;58819;12396;24843;;
3015000;"Powiat nowotomyski";21709;33435;11313;25426;7528;27268;38316;12309;16760;10165;25202;57761;57427;37768;;
3016000;"Powiat obornicki";15752;19591;25037;38919;44820;14013;33215;25378;14663;25019;34346;30539;40796;37839;;
3017000;"Powiat ostrowski";49919;58192;95007;75436;89334;69291;94981;86930;62169;91714;18575;108188;67978;145911;;
3018000;"Powiat ostrzeszowski";11411;26283;26615;39726;20523;34540;22988;37905;22559;42295;37476;43866;30112;36829;;
3019000;"Powiat pilski";32412;42314;51719;74532;36142;26961;44613;52186;34084;32168;84584;41554;68462;37500;;
3020000;"Powiat pleszewski";25052;51533;54439;49725;37977;110144;42611;78765;34541;48072;98763;50517;109610;57594;;
3021000;"Powiat poznański";292640;412047;529840;495301;400555;249541;196554;284878;189001;459980;461717;307365;635528;448493;;
3022000;"Powiat rawicki";25523;31068;30917;22571;19677;23984;17169;29351;14245;67775;41485;32184;42181;34301;;
3023000;"Powiat słupecki";22604;25532;16045;14449;21785;28339;24767;18101;18166;29240;42795;36195;27289;31053;;
3024000;"Powiat szamotulski";42786;48034;48737;35343;20251;39664;15272;4383;13041;3977;6631;9427;9358;7428;;
3025000;"Powiat średzki";51215;38202;31365;31578;19911;38873;27823;38994;39928;50705;42195;38857;24809;33305;;
3026000;"Powiat śremski";20604;38597;37405;59104;18148;38163;24229;36363;19506;29533;25808;9872;39289;33963;;
3027000;"Powiat turecki";13106;18428;13941;20989;5659;12165;15906;9758;23924;14474;13847;16422;5753;5583;;
3028000;"Powiat wągrowiecki";17935;18112;25638;20069;12123;15372;14095;25193;36692;23164;76252;25391;33270;29665;;
3029000;"Powiat wolsztyński";22029;48823;16963;19321;16120;26679;50722;71632;50321;58845;77237;44998;30635;28927;;
3030000;"Powiat wrzesiński";53215;36851;32506;52635;41467;75252;31130;59012;62897;37978;94570;482389;36612;63687;;
3031000;"Powiat złotowski";20801;15771;22460;21875;12458;16701;15824;32682;20538;60403;52589;58459;56755;59435;;
3061000;"Powiat m.Kalisz";62727;55883;52878;34513;46666;38578;69560;36693;22556;106234;23792;23280;37484;17857;;
3062000;"Powiat m.Konin";13279;22382;22162;17587;14421;9275;20553;13053;15677;12108;14402;23095;11355;15230;;
3063000;"Powiat m.Leszno";14660;13755;7557;34040;17341;16524;87489;27217;22162;12547;15889;44423;45952;28098;;
3064000;"Powiat m.Poznań";285513;86123;138286;223343;231598;87231;142293;151635;349079;211205;194309;344534;77182;118657;;
3201000;"Powiat białogardzki";4376;7842;22030;27368;16904;11812;7416;8047;2970;20172;12161;30912;13669;14142;;
3202000;"Powiat choszczeński";8659;9356;5988;8750;8359;7343;4842;4342;5189;14919;3497;7414;12308;6913;;
3203000;"Powiat drawski";8777;11022;8462;6270;7610;10721;10555;15173;18092;9771;9257;6871;11941;7865;;
3204000;"Powiat goleniowski";39810;45335;7989;35749;53652;19378;63872;23185;47883;53305;86567;54744;156828;95969;;
3205000;"Powiat gryficki";16906;17041;44197;30506;32980;28744;19001;17827;24990;50629;27596;27627;20494;17195;;
3206000;"Powiat gryfiński";10391;8868;5631;9279;16170;12577;15139;16912;9899;10270;11862;31812;96945;78391;;
3207000;"Powiat kamieński";27357;24426;10134;36301;18159;16751;1360;14021;18162;4841;25228;9495;10916;8218;;
3208000;"Powiat kołobrzeski";33172;13157;14760;78217;85922;50762;21714;33791;47186;73602;46575;41322;68032;26882;;
3209000;"Powiat koszaliński";21143;15434;10700;28449;23790;21484;21255;29866;22691;34622;22714;24166;32906;49154;;
3210000;"Powiat myśliborski";4225;2542;16777;11708;7318;11713;7511;11886;10931;14219;20287;13495;5980;5921;;
3211000;"Powiat policki";8129;27837;18064;49262;21657;14514;18809;37308;44976;32029;25169;17173;207408;21419;;
3212000;"Powiat pyrzycki";8892;10445;6715;1929;8391;10054;9084;10656;12634;10779;8917;2671;11509;9976;;
3213000;"Powiat sławieński";26381;20374;19167;29612;24210;16964;13820;22810;12726;16295;26326;15925;38300;19053;;
3214000;"Powiat stargardzki";34123;29508;28118;134312;52606;19341;21581;17373;56700;18391;20643;18317;48536;46977;;
3215000;"Powiat szczecinecki";23131;32988;17053;23245;44803;20631;21162;17108;21911;11845;52791;21890;22647;12184;;
3216000;"Powiat świdwiński";9367;9707;10028;11878;8097;4594;3529;5427;5224;12075;11120;4662;8901;14332;;
3217000;"Powiat wałecki";4180;11299;4107;21907;14435;14006;10501;17442;22914;11108;16452;7634;5404;15798;;
3218000;"Powiat łobeski";3006;27248;7581;7162;5665;5928;13925;7570;9302;4175;8799;13728;14948;5527;;
3261000;"Powiat m.Koszalin";17172;25246;11557;26860;46582;24427;25790;37244;25732;14689;40532;38722;19470;28150;;
3262000;"Powiat m.Szczecin";28060;52221;86064;54706;64579;66842;168682;95765;102948;147710;111009;111743;91239;167688;;
3263000;"Powiat m.Świnoujście";5627;10844;18341;37921;14895;28504;38755;15153;12205;12818;47923;22604;2773;30501;;
