"Kod";"Nazwa";"rok;wpisane;spółki handlowe;2005;[-]";"rok;wpisane;spółki handlowe;2006;[-]";"rok;wpisane;spółki handlowe;2007;[-]";"rok;wpisane;spółki handlowe;2008;[-]";"rok;wpisane;spółki handlowe;2009;[-]";"rok;wpisane;spółki handlowe;2010;[-]";"rok;wpisane;spółki handlowe;2011;[-]";"rok;wpisane;spółki handlowe;2012;[-]";"rok;wpisane;spółki handlowe;2013;[-]";"rok;wpisane;spółki handlowe;2014;[-]";"rok;wpisane;spółki handlowe;2015;[-]";"rok;wpisane;spółki handlowe;2016;[-]";"rok;wpisane;spółki handlowe;2017;[-]";"rok;wpisane;spółki handlowe;2018;[-]";"rok;wpisane;spółki handlowe;2019;[-]";
1608000;"Powiat oleski";148;158;165;169;173;180;183;194;202;217;220;237;255;246;;
1609000;"Powiat opolski";410;425;448;459;486;515;540;567;607;639;668;699;613;535;;
1610000;"Powiat prudnicki";116;121;126;122;131;144;154;158;166;169;169;173;174;131;;
1611000;"Powiat strzelecki";187;198;213;208;220;231;248;257;275;289;297;315;318;263;;
1661000;"Powiat m.Opole";1727;1792;1863;1906;1995;2071;2141;2230;2450;2574;2634;2810;2902;2374;;
1801000;"Powiat bieszczadzki";42;44;45;47;47;45;57;59;62;67;66;75;75;67;;
1802000;"Powiat brzozowski";58;60;61;59;60;67;84;87;102;104;105;136;148;143;;
1803000;"Powiat dębicki";347;359;389;401;423;451;465;499;517;556;557;593;616;586;;
1804000;"Powiat jarosławski";234;245;259;264;281;301;313;346;374;409;433;483;531;524;;
1805000;"Powiat jasielski";209;224;233;240;250;265;284;300;326;337;331;352;375;347;;
1806000;"Powiat kolbuszowski";75;80;82;90;90;96;103;112;121;137;144;169;189;182;;
1807000;"Powiat krośnieński";128;133;142;145;155;163;175;188;209;225;236;264;285;269;;
1808000;"Powiat leżajski";90;95;106;105;109;113;118;122;137;164;170;179;190;183;;
1809000;"Powiat lubaczowski";61;60;65;69;71;75;82;85;89;91;91;103;119;111;;
1810000;"Powiat łańcucki";151;161;160;164;180;197;205;221;244;275;287;331;364;368;;
1811000;"Powiat mielecki";365;382;429;459;474;500;530;580;638;682;699;737;776;728;;
1812000;"Powiat niżański";63;62;64;66;75;82;88;94;104;112;111;115;120;99;;
1813000;"Powiat przemyski";62;66;70;77;81;89;97;112;122;133;146;196;220;208;;
1814000;"Powiat przeworski";94;95;96;101;108;119;134;143;160;164;171;200;224;213;;
1815000;"Powiat ropczycko-sędziszowski";83;87;95;98;104;113;123;132;143;157;163;183;201;186;;
1816000;"Powiat rzeszowski";315;345;377;395;411;427;486;532;614;675;713;831;915;906;;
1817000;"Powiat sanocki";205;218;237;244;255;268;281;296;318;334;355;390;434;412;;
1818000;"Powiat stalowowolski";322;334;348;371;388;401;424;446;460;481;484;512;526;439;;
1819000;"Powiat strzyżowski";52;55;60;66;77;78;82;86;99;106;107;127;144;152;;
1820000;"Powiat tarnobrzeski";67;75;80;78;90;95;107;113;119;132;133;140;151;147;;
1821000;"Powiat leski";67;66;62;55;58;59;63;62;62;63;64;79;78;55;;
1861000;"Powiat m.Krosno";296;316;330;337;360;384;392;419;445;479;491;506;533;473;;
1862000;"Powiat m.Przemyśl";369;380;389;395;408;430;452;492;543;608;678;866;949;911;;
1863000;"Powiat m.Rzeszów";1598;1657;1775;1857;1997;2176;2382;2659;3009;3416;3711;4335;4771;4630;;
1864000;"Powiat m.Tarnobrzeg";221;228;241;253;257;264;274;277;301;310;312;329;347;244;;
2001000;"Powiat augustowski";118;121;128;125;127;134;135;150;154;165;163;165;170;159;;
2002000;"Powiat białostocki";315;343;368;394;424;450;470;519;572;621;626;694;772;740;;
2003000;"Powiat bielski";126;130;132;126;128;132;140;150;161;165;172;189;199;182;;
2004000;"Powiat grajewski";50;50;54;57;61;69;72;78;84;91;93;88;91;80;;
2005000;"Powiat hajnowski";68;70;70;75;76;79;83;82;92;96;95;103;111;96;;
2006000;"Powiat kolneński";26;27;29;31;34;35;37;43;46;50;48;50;53;50;;
2007000;"Powiat łomżyński";44;48;53;46;47;49;58;61;69;71;74;79;84;82;;
2008000;"Powiat moniecki";40;43;46;45;45;51;52;57;62;67;67;68;68;49;;
2009000;"Powiat sejneński";33;32;32;31;31;30;32;35;37;38;39;40;47;37;;
2010000;"Powiat siemiatycki";46;48;49;53;56;59;63;70;73;76;77;84;90;81;;
2011000;"Powiat sokólski";101;105;103;102;102;109;119;123;133;141;152;158;169;144;;
2012000;"Powiat suwalski";39;39;39;40;39;42;48;55;58;63;65;66;71;61;;
2013000;"Powiat wysokomazowiecki";65;67;71;75;85;88;89;91;97;106;107;121;127;121;;
2014000;"Powiat zambrowski";56;59;67;67;76;77;82;91;98;109;113;127;136;136;;
2061000;"Powiat m.Białystok";1885;1961;2068;2126;2212;2323;2479;2700;2972;3166;3303;3661;3948;3619;;
2062000;"Powiat m.Łomża";253;266;279;275;283;291;298;307;322;341;348;383;408;340;;
2063000;"Powiat m.Suwałki";344;352;347;341;358;381;390;408;446;464;481;537;584;466;;
2201000;"Powiat bytowski";184;191;196;210;219;219;234;251;268;287;286;307;314;269;;
2202000;"Powiat chojnicki";211;224;235;251;279;295;325;345;351;370;381;417;478;441;;
2203000;"Powiat człuchowski";150;156;163;168;164;170;179;191;199;210;217;219;229;192;;
2204000;"Powiat gdański";619;666;714;759;804;863;941;1018;1107;1193;1276;1392;1455;1318;;
2205000;"Powiat kartuski";446;478;502;545;574;627;675;744;833;899;963;1121;1210;1148;;
2206000;"Powiat kościerski";152;159;165;167;175;191;191;196;220;230;250;279;296;238;;
2207000;"Powiat kwidzyński";269;274;285;293;311;331;339;354;395;421;428;435;444;436;;
2208000;"Powiat lęborski";252;267;276;284;284;298;309;315;334;334;339;348;368;283;;
2209000;"Powiat malborski";201;212;221;235;235;243;257;279;290;308;299;312;314;248;;
2210000;"Powiat nowodworski";106;110;110;111;115;126;133;140;149;153;155;164;169;130;;
2211000;"Powiat pucki";292;308;343;362;380;406;422;439;469;506;545;588;617;551;;
2212000;"Powiat słupski";341;364;372;386;398;417;431;484;511;521;534;531;546;461;;
2213000;"Powiat starogardzki";351;375;387;401;401;421;425;474;511;535;563;593;605;498;;
2214000;"Powiat tczewski";471;479;487;497;520;554;576;614;658;670;682;712;741;600;;
2215000;"Powiat wejherowski";800;843;891;929;973;1026;1075;1151;1271;1357;1387;1485;1591;1359;;
2216000;"Powiat sztumski";145;147;150;149;154;153;163;172;191;195;195;192;194;146;;
2261000;"Powiat m.Gdańsk";6881;7147;7476;7708;8054;8471;8827;9399;10059;10747;11137;11666;11971;9156;;
2262000;"Powiat m.Gdynia";3662;3838;3981;4146;4377;4606;4840;5186;5669;5950;6142;6576;7044;5805;;
2263000;"Powiat m.Słupsk";696;739;768;785;822;855;878;899;917;957;970;1002;1026;733;;
2264000;"Powiat m.Sopot";1181;1224;1276;1302;1366;1432;1510;1596;1707;1782;1822;1951;2082;1610;;
2401000;"Powiat będziński";630;667;696;724;777;813;842;917;1017;1106;1172;1257;1325;1154;;
2402000;"Powiat bielski";521;543;585;610;631;661;708;784;849;935;972;1069;1127;1047;;
2403000;"Powiat cieszyński";876;912;970;1005;1042;1136;1198;1269;1368;1451;1477;1585;1602;1355;;
2404000;"Powiat częstochowski";265;269;282;292;307;331;356;380;429;446;456;529;574;532;;
2405000;"Powiat gliwicki";297;307;320;341;376;404;433;485;544;590;672;839;958;932;;
2406000;"Powiat kłobucki";172;181;194;201;217;228;234;244;260;282;288;315;340;326;;
2407000;"Powiat lubliniecki";168;183;193;205;218;242;268;288;324;372;376;401;438;415;;
2408000;"Powiat mikołowski";448;487;518;556;580;652;700;750;814;882;930;984;1041;993;;
2409000;"Powiat myszkowski";194;194;214;233;243;257;277;295;322;348;369;404;435;393;;
2410000;"Powiat pszczyński";417;441;457;480;507;555;593;661;735;794;826;887;959;925;;
2411000;"Powiat raciborski";446;467;488;500;523;556;570;599;649;680;683;706;735;616;;
2412000;"Powiat rybnicki";110;118;123;138;151;159;163;182;192;208;218;233;234;220;;
2413000;"Powiat tarnogórski";677;696;743;780;840;911;963;1050;1141;1224;1284;1349;1390;1236;;
2414000;"Powiat bieruńsko-lędziński";143;145;150;157;170;192;208;225;257;292;301;317;347;361;;
2415000;"Powiat wodzisławski";372;385;404;420;449;475;492;548;605;664;689;737;778;717;;
2416000;"Powiat zawierciański";304;317;327;331;332;348;370;393;432;458;460;491;523;468;;
2417000;"Powiat żywiecki";341;354;377;392;417;441;470;504;550;612;635;692;717;653;;
2461000;"Powiat m.Bielsko-Biała";1922;2022;2110;2180;2314;2445;2587;2802;3060;3258;3401;3725;3851;3402;;
2462000;"Powiat m.Bytom";704;732;793;830;884;940;999;1058;1151;1238;1290;1387;1447;1254;;
2463000;"Powiat m.Chorzów";712;732;781;807;836;905;940;1065;1133;1213;1283;1397;1496;1367;;
2464000;"Powiat m.Częstochowa";1779;1849;1926;1996;2092;2184;2316;2489;2662;2844;2951;3264;3463;3001;;
2465000;"Powiat m.Dąbrowa Górnicza";732;744;776;809;860;906;982;1052;1159;1261;1303;1402;1499;1325;;
2466000;"Powiat m.Gliwice";1869;1939;2077;2146;2292;2415;2532;2654;2829;3024;3117;3224;3276;2775;;
2467000;"Powiat m.Jastrzębie-Zdrój";232;243;254;267;278;288;303;310;329;355;370;394;411;339;;
2468000;"Powiat m.Jaworzno";266;279;307;324;336;402;453;501;559;613;652;735;800;761;;
2469000;"Powiat m.Katowice";5192;5434;5720;5996;6257;6702;7146;7810;8611;9336;9744;10654;11229;10013;;
2470000;"Powiat m.Mysłowice";451;481;500;506;522;541;560;608;656;705;730;786;822;709;;
2471000;"Powiat m.Piekary Śląskie";179;185;195;212;222;241;252;285;334;397;411;448;463;416;;
2472000;"Powiat m.Ruda Śląska";428;442;473;477;513;556;593;636;687;730;760;798;842;782;;
2473000;"Powiat m.Rybnik";718;748;790;822;887;966;1035;1100;1201;1273;1281;1346;1353;1198;;
2474000;"Powiat m.Siemianowice Śląskie";343;367;376;389;405;427;446;470;509;534;554;576;562;488;;
2475000;"Powiat m.Sosnowiec";1017;1064;1118;1166;1207;1333;1395;1503;1605;1703;1780;2000;2095;1805;;
2476000;"Powiat m.Świętochłowice";177;180;186;192;199;205;225;237;259;286;298;318;348;318;;
2477000;"Powiat m.Tychy";819;877;948;986;1044;1111;1192;1272;1398;1483;1547;1638;1731;1569;;
2478000;"Powiat m.Zabrze";838;878;907;914;941;969;1030;1115;1178;1242;1298;1346;1326;1076;;
2479000;"Powiat m.Żory";248;254;273;287;310;328;353;381;409;451;466;499;512;470;;
2601000;"Powiat buski";111;119;127;130;132;141;144;146;160;164;170;178;184;148;;
2602000;"Powiat jędrzejowski";114;117;121;127;137;152;157;166;183;191;192;200;257;260;;
2603000;"Powiat kazimierski";31;32;35;37;40;46;48;52;57;63;64;68;72;71;;
2604000;"Powiat kielecki";233;246;270;280;297;319;354;384;468;530;541;602;656;663;;
2605000;"Powiat konecki";155;168;172;176;178;177;185;196;209;223;232;249;254;230;;
2606000;"Powiat opatowski";60;62;65;64;64;69;68;72;78;82;81;90;91;76;;
2607000;"Powiat ostrowiecki";300;310;329;335;338;351;349;362;388;414;420;456;486;418;;
2608000;"Powiat pińczowski";55;58;60;59;63;68;70;74;93;98;100;106;114;94;;
2609000;"Powiat sandomierski";192;197;206;211;220;227;233;244;257;276;279;298;318;266;;
2610000;"Powiat skarżyski";177;187;191;193;201;207;218;222;231;247;243;270;294;246;;
2611000;"Powiat starachowicki";276;291;297;292;292;303;299;305;315;321;325;337;359;296;;
2612000;"Powiat staszowski";110;115;117;117;123;126;126;130;139;152;159;165;175;152;;
2613000;"Powiat włoszczowski";61;64;66;65;63;65;73;89;95;101;100;104;110;100;;
2661000;"Powiat m.Kielce";1944;2007;2110;2200;2260;2368;2468;2628;2833;3011;3108;3359;3543;2941;;
2801000;"Powiat bartoszycki";128;134;140;142;147;156;161;173;172;178;182;189;196;166;;
2802000;"Powiat braniewski";97;103;106;109;108;113;125;134;146;159;164;176;192;163;;
2803000;"Powiat działdowski";95;99;109;114;123;122;131;147;159;156;165;178;184;152;;
2804000;"Powiat elbląski";167;174;177;174;186;191;210;220;238;245;234;246;268;231;;
2805000;"Powiat ełcki";214;214;222;220;228;233;244;254;270;288;293;315;364;316;;
2806000;"Powiat giżycki";180;189;191;198;200;200;211;227;240;244;246;252;266;214;;
2807000;"Powiat iławski";215;227;242;241;259;274;286;294;318;317;320;337;348;320;;
2808000;"Powiat kętrzyński";85;87;92;89;91;93;109;120;138;142;149;158;158;138;;
2809000;"Powiat lidzbarski";87;87;88;89;95;108;116;133;139;146;145;157;161;143;;
2810000;"Powiat mrągowski";185;196;205;201;207;212;224;237;254;261;267;303;333;300;;
2811000;"Powiat nidzicki";78;79;81;84;87;92;98;107;113;118;117;122;133;124;;
2812000;"Powiat nowomiejski";61;63;67;68;73;84;90;104;112;116;123;144;154;157;;
2813000;"Powiat olecki";100;103;107;106;111;120;126;130;130;129;133;148;149;103;;
2814000;"Powiat olsztyński";362;375;388;406;428;448;491;530;602;614;613;670;726;671;;
2815000;"Powiat ostródzki";273;285;303;314;332;363;390;405;441;464;466;496;525;437;;
2816000;"Powiat piski";84;84;84;85;86;91;93;96;98;100;103;109;116;84;;
2817000;"Powiat szczycieński";160;161;166;170;177;185;188;196;198;208;211;237;240;204;;
2818000;"Powiat gołdapski";75;76;79;76;74;76;83;88;94;96;96;97;104;76;;
2819000;"Powiat węgorzewski";66;67;65;64;63;68;70;72;81;89;88;94;91;82;;
2861000;"Powiat m.Elbląg";589;610;620;635;673;696;747;787;821;840;858;919;992;795;;
2862000;"Powiat m.Olsztyn";1569;1623;1696;1728;1796;1908;2008;2149;2334;2489;2540;2834;3020;2603;;
3001000;"Powiat chodzieski";161;163;172;178;180;190;201;221;233;252;256;270;289;255;;
3002000;"Powiat czarnkowsko-trzcianecki";238;249;256;263;272;283;323;346;386;408;409;425;431;337;;
3003000;"Powiat gnieźnieński";437;463;485;520;530;560;594;662;710;752;778;839;911;819;;
3004000;"Powiat gostyński";192;207;222;235;247;261;274;293;297;320;341;384;412;397;;
3005000;"Powiat grodziski";147;160;170;177;186;202;212;233;263;283;292;334;359;343;;
3006000;"Powiat jarociński";164;171;180;189;201;209;228;254;262;295;298;333;353;338;;
3007000;"Powiat kaliski";164;176;195;203;231;257;274;305;326;340;348;387;419;408;;
3008000;"Powiat kępiński";162;166;174;180;185;199;208;228;238;265;289;326;347;317;;
3009000;"Powiat kolski";150;159;164;163;167;180;192;202;212;217;214;232;236;203;;
3010000;"Powiat koniński";125;131;139;150;165;193;224;262;300;326;334;351;378;379;;
3011000;"Powiat kościański";278;282;291;313;333;348;378;401;432;461;468;506;542;491;;
3012000;"Powiat krotoszyński";151;160;172;187;220;238;256;279;309;332;354;401;448;433;;
3013000;"Powiat leszczyński";162;173;184;190;206;225;243;272;288;310;313;349;387;357;;
3014000;"Powiat międzychodzki";102;107;119;129;140;148;153;160;171;183;193;205;214;193;;
3015000;"Powiat nowotomyski";239;260;289;308;323;344;364;400;444;490;517;548;568;526;;
3016000;"Powiat obornicki";216;225;248;258;263;281;302;320;356;393;406;458;489;478;;
3017000;"Powiat ostrowski";574;594;628;643;680;721;770;852;929;971;1007;1087;1165;1049;;
3018000;"Powiat ostrzeszowski";135;136;142;151;162;174;181;196;209;244;247;278;298;285;;
3019000;"Powiat pilski";570;587;596;609;620;648;676;707;744;784;802;861;895;728;;
3020000;"Powiat pleszewski";127;129;135;144;166;198;196;209;231;254;259;277;279;246;;
3021000;"Powiat poznański";2224;2431;2685;2925;3187;3527;3832;4229;4781;5337;5633;6167;6670;6555;;
3022000;"Powiat rawicki";154;168;182;187;199;223;234;261;286;299;316;349;370;370;;
3023000;"Powiat słupecki";110;116;134;146;163;178;192;203;214;231;229;245;260;238;;
3024000;"Powiat szamotulski";321;349;382;399;426;440;475;511;559;592;613;642;690;654;;
3025000;"Powiat średzki";158;178;189;196;220;234;252;275;307;328;360;408;435;430;;
3026000;"Powiat śremski";178;194;209;227;258;265;283;307;335;356;375;397;412;371;;
3027000;"Powiat turecki";145;157;159;164;172;177;189;206;216;232;243;268;288;244;;
3028000;"Powiat wągrowiecki";142;153;159;168;173;179;195;219;238;253;261;297;321;311;;
3029000;"Powiat wolsztyński";203;211;220;229;244;255;283;302;329;337;357;412;433;386;;
3030000;"Powiat wrzesiński";241;259;277;293;313;349;377;423;454;477;483;520;535;500;;
3031000;"Powiat złotowski";207;216;218;226;222;230;232;239;253;252;259;286;311;261;;
3061000;"Powiat m.Kalisz";683;714;737;766;784;826;895;986;1070;1154;1171;1223;1295;1091;;
3062000;"Powiat m.Konin";510;531;554;588;628;646;671;735;789;824;829;855;877;712;;
3063000;"Powiat m.Leszno";536;557;588;591;619;645;674;711;788;854;879;956;1047;885;;
3064000;"Powiat m.Poznań";9693;10196;10904;11412;12159;13262;14504;16101;18162;20388;21019;23025;24523;21944;;
3201000;"Powiat białogardzki";150;155;176;176;177;193;202;213;224;236;240;257;256;221;;
3202000;"Powiat choszczeński";153;157;169;176;189;197;216;223;235;235;238;260;276;225;;
3203000;"Powiat drawski";153;152;154;161;165;172;174;183;194;201;213;213;210;153;;
3204000;"Powiat goleniowski";358;382;412;433;457;478;497;521;554;581;589;633;674;569;;
3205000;"Powiat gryficki";188;200;208;217;232;248;256;261;275;281;281;302;318;270;;
3206000;"Powiat gryfiński";391;405;415;416;431;442;459;490;515;539;540;564;592;466;;
3207000;"Powiat kamieński";205;220;226;224;234;242;238;248;262;268;261;281;298;244;;
3208000;"Powiat kołobrzeski";440;454;485;486;505;527;566;666;696;718;729;766;787;667;;
3209000;"Powiat koszaliński";205;215;226;240;244;255;259;272;288;309;327;339;362;315;;
3210000;"Powiat myśliborski";272;285;296;306;316;320;337;345;370;399;423;450;470;378;;
3211000;"Powiat policki";421;435;468;501;546;575;601;649;699;738;775;817;865;773;;
3212000;"Powiat pyrzycki";156;173;179;181;183;195;200;207;222;282;285;279;283;228;;
3213000;"Powiat sławieński";187;195;197;198;208;221;237;256;268;280;282;300;307;251;;
3214000;"Powiat stargardzki";460;480;512;538;571;597;629;669;715;750;765;809;844;677;;
3215000;"Powiat szczecinecki";281;291;302;312;321;326;332;347;361;380;379;375;366;275;;
3216000;"Powiat świdwiński";131;146;156;158;167;174;184;202;209;230;233;236;234;196;;
3217000;"Powiat wałecki";192;190;198;196;202;203;213;223;248;254;262;274;278;196;;
3218000;"Powiat łobeski";116;115;121;126;134;138;143;153;167;172;174;184;190;155;;
3261000;"Powiat m.Koszalin";972;1006;1032;1047;1094;1156;1198;1252;1322;1397;1420;1500;1532;1204;;
3262000;"Powiat m.Szczecin";5109;5377;5673;5968;6273;6639;6945;7424;8038;8528;8671;9294;9918;8412;;
3263000;"Powiat m.Świnoujście";272;279;283;296;298;307;316;327;337;358;363;378;389;300;;
