"Kod";"Nazwa";"ogółem;ogółem;2015;[m2]";"ogółem;ogółem;2016;[m2]";"ogółem;ogółem;2017;[m2]";"ogółem;ogółem;2018;[m2]";"ogółem;do 40 m2;2015;[m2]";"ogółem;do 40 m2;2016;[m2]";"ogółem;do 40 m2;2017;[m2]";"ogółem;do 40 m2;2018;[m2]";"ogółem;od 40,1 do 60 m2;2015;[m2]";"ogółem;od 40,1 do 60 m2;2016;[m2]";"ogółem;od 40,1 do 60 m2;2017;[m2]";"ogółem;od 40,1 do 60 m2;2018;[m2]";"ogółem;od 60,1 do 80 m2;2015;[m2]";"ogółem;od 60,1 do 80 m2;2016;[m2]";"ogółem;od 60,1 do 80 m2;2017;[m2]";"ogółem;od 60,1 do 80 m2;2018;[m2]";"ogółem;od 80,1 m2;2015;[m2]";"ogółem;od 80,1 m2;2016;[m2]";"ogółem;od 80,1 m2;2017;[m2]";"ogółem;od 80,1 m2;2018;[m2]";"rynek pierwotny;ogółem;2015;[m2]";"rynek pierwotny;ogółem;2016;[m2]";"rynek pierwotny;ogółem;2017;[m2]";"rynek pierwotny;ogółem;2018;[m2]";"rynek pierwotny;do 40 m2;2015;[m2]";"rynek pierwotny;do 40 m2;2016;[m2]";"rynek pierwotny;do 40 m2;2017;[m2]";"rynek pierwotny;do 40 m2;2018;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2015;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2016;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2017;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2018;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2015;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2016;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2017;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2018;[m2]";"rynek pierwotny;od 80,1 m2;2015;[m2]";"rynek pierwotny;od 80,1 m2;2016;[m2]";"rynek pierwotny;od 80,1 m2;2017;[m2]";"rynek pierwotny;od 80,1 m2;2018;[m2]";"rynek wtórny;ogółem;2015;[m2]";"rynek wtórny;ogółem;2016;[m2]";"rynek wtórny;ogółem;2017;[m2]";"rynek wtórny;ogółem;2018;[m2]";"rynek wtórny;do 40 m2;2015;[m2]";"rynek wtórny;do 40 m2;2016;[m2]";"rynek wtórny;do 40 m2;2017;[m2]";"rynek wtórny;do 40 m2;2018;[m2]";"rynek wtórny;od 40,1 do 60 m2;2015;[m2]";"rynek wtórny;od 40,1 do 60 m2;2016;[m2]";"rynek wtórny;od 40,1 do 60 m2;2017;[m2]";"rynek wtórny;od 40,1 do 60 m2;2018;[m2]";"rynek wtórny;od 60,1 do 80 m2;2015;[m2]";"rynek wtórny;od 60,1 do 80 m2;2016;[m2]";"rynek wtórny;od 60,1 do 80 m2;2017;[m2]";"rynek wtórny;od 60,1 do 80 m2;2018;[m2]";"rynek wtórny;od 80,1 m2;2015;[m2]";"rynek wtórny;od 80,1 m2;2016;[m2]";"rynek wtórny;od 80,1 m2;2017;[m2]";"rynek wtórny;od 80,1 m2;2018;[m2]";
1401000;"Powiat białobrzeski";611,0;872,7;1312,3;;0,0;311,3;210,6;;442,0;366,5;642,7;;0,0;194,9;459,0;;0,0;0,0;0,0;;0,0;0,0;166,4;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;611,0;872,7;1145,9;;0,0;311,3;210,6;;442,0;366,5;546,3;;0,0;194,9;389,0;;0,0;0,0;0,0;;
1402000;"Powiat ciechanowski";13096,7;9945,6;14376,7;;1917,2;1851,5;2175,3;;6815,7;3408,9;6748,2;;3304,8;4110,9;5005,6;;1059,0;574,3;447,6;;783,8;4100,3;8774,5;;0,0;1042,8;1201,8;;0,0;1197,9;4382,4;;364,4;1688,5;3190,3;;300,3;0,0;0,0;;12312,9;5845,3;5602,2;;1844,4;808,7;973,5;;6769,4;2211,0;2365,8;;2940,4;2422,4;1815,3;;758,7;403,2;447,6;;
1403000;"Powiat garwoliński";202,0;1545,0;526,0;;0,0;186,0;80,0;;141,0;909,0;152,0;;0,0;268,0;294,0;;0,0;0,0;0,0;;0,0;247,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;202,0;1298,0;526,0;;0,0;186,0;80,0;;141,0;809,0;152,0;;0,0;207,0;294,0;;0,0;0,0;0,0;;
1404000;"Powiat gostyniński";2088,6;2633,2;4765,7;;440,8;734,5;805,7;;889,0;1489,6;1997,2;;667,8;409,1;1788,0;;0,0;0,0;0,0;;441,0;343,1;1878,8;;0,0;0,0;0,0;;285,0;304,5;1004,1;;0,0;0,0;746,7;;0,0;0,0;0,0;;1647,6;2290,1;2886,9;;440,8;695,9;766,9;;604,0;1185,1;993,1;;602,8;409,1;1041,3;;0,0;0,0;0,0;;
1405000;"Powiat grodziski";7737,0;13011,0;14990,4;;1200,0;1693,0;1427,3;;2077,0;3334,0;3542,5;;640,0;812,0;1587,1;;3820,0;7172,0;8433,5;;1763,0;2493,0;4906,1;;0,0;330,0;269,5;;0,0;412,0;1193,1;;284,0;0,0;490,7;;1313,0;1622,0;2952,8;;5974,0;10518,0;10084,3;;1133,0;1363,0;1157,8;;1978,0;2922,0;2349,4;;356,0;683,0;1096,4;;2507,0;5550,0;5480,7;;
1406000;"Powiat grójecki";855,5;7124,3;6959,9;;338,2;1498,9;1266,1;;307,6;2580,3;2288,3;;209,7;1621,8;2873,5;;0,0;1423,3;532,0;;0,0;1832,1;2878,2;;0,0;376,7;396,0;;0,0;985,2;548,6;;0,0;470,2;1571,1;;0,0;0,0;362,5;;855,5;5292,2;4081,7;;338,2;1122,2;870,1;;307,6;1595,1;1739,7;;209,7;1151,6;1302,4;;0,0;1423,3;0,0;;
1407000;"Powiat kozienicki";4698,7;3110,9;3567,0;;980,7;666,8;1089,8;;3162,3;1967,3;2003,0;;463,7;393,3;474,2;;0,0;0,0;0,0;;1036,9;277,0;0,0;;237,5;176,6;0,0;;657,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;3661,8;2833,9;3567,0;;743,2;490,2;1089,8;;2505,3;1866,9;2003,0;;321,3;393,3;474,2;;0,0;0,0;0,0;;
1408000;"Powiat legionowski";15465,7;21852,0;31109,6;;3117,3;3539,1;4232,2;;7115,3;9740,6;13751,5;;3823,6;4761,8;7546,3;;1409,5;3810,5;5579,6;;6323,9;11039,7;12211,0;;1580,8;1919,2;1856,1;;2872,6;4775,6;5807,8;;1433,0;1917,7;2605,4;;437,5;2427,2;1941,7;;9141,8;10812,3;18898,6;;1536,5;1619,9;2376,1;;4242,7;4965,0;7943,7;;2390,6;2844,1;4940,9;;972,0;1383,3;3637,9;;
1409000;"Powiat lipski";0,0;0,0;241,4;;0,0;0,0;115,3;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;241,4;;0,0;0,0;115,3;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;
1410000;"Powiat łosicki";2222,6;1802,3;309,3;;511,6;369,5;0,0;;1379,9;944,7;309,3;;331,1;488,1;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;2165,7;1802,3;309,3;;511,6;369,5;0,0;;1323,0;944,7;309,3;;331,1;488,1;0,0;;0,0;0,0;0,0;;
1411000;"Powiat makowski";0,0;0,0;568,1;;0,0;0,0;207,4;;0,0;0,0;0,0;;0,0;0,0;264,1;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;568,1;;0,0;0,0;207,4;;0,0;0,0;0,0;;0,0;0,0;264,1;;0,0;0,0;0,0;;
1412000;"Powiat miński";22877,6;22648,6;26989,6;;1976,8;2159,8;3557,5;;11447,8;10493,4;14991,0;;6946,8;6136,2;5762,4;;2506,2;3859,2;2678,7;;18908,2;14055,6;17601,4;;1309,2;1152,8;1851,4;;9529,3;7003,3;10356,5;;6147,8;3824,1;3864,6;;1921,9;2075,4;1528,9;;3969,4;8593,0;9388,2;;667,6;1007,0;1706,1;;1918,5;3490,1;4634,5;;799,0;2312,1;1897,8;;584,3;1783,8;1149,8;;
1413000;"Powiat mławski";11962,0;10998,0;14125,4;;1566,0;2202,0;2937,2;;7136,0;4956,0;6087,1;;2511,0;2818,0;4423,3;;749,0;1022,0;677,8;;6366,0;6855,0;7682,1;;577,0;981,0;1685,7;;4770,0;3053,0;3319,5;;836,0;1973,0;2676,9;;0,0;848,0;0,0;;5596,0;4143,0;6443,3;;989,0;1221,0;1251,5;;2366,0;1903,0;2767,6;;1675,0;845,0;1746,4;;566,0;0,0;677,8;;
1414000;"Powiat nowodworski";21487,0;16312,9;19143,6;;3592,3;4866,1;3935,8;;11398,0;5398,1;7947,9;;3638,5;3765,0;4983,4;;2858,2;2283,7;2276,5;;13193,6;7144,9;8299,6;;2039,2;2431,0;1239,4;;7349,4;1581,4;3363,9;;2013,8;2200,6;2171,1;;1791,2;931,9;1525,2;;8293,4;9168,0;10844,0;;1553,1;2435,1;2696,4;;4048,6;3816,7;4584,0;;1624,7;1564,4;2812,3;;1067,0;1351,8;751,3;;
1415000;"Powiat ostrołęcki";156,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;156,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;
1416000;"Powiat ostrowski";3086,0;1965,0;1496,0;;850,0;508,0;382,0;;2023,0;996,0;991,0;;213,0;461,0;0,0;;0,0;0,0;0,0;;868,0;124,0;0,0;;286,0;0,0;0,0;;582,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;2218,0;1841,0;1496,0;;564,0;468,0;382,0;;1441,0;912,0;991,0;;213,0;461,0;0,0;;0,0;0,0;0,0;;
1417000;"Powiat otwocki";9344,2;11908,6;16642,8;;1178,0;1816,0;1752,4;;4321,0;5444,6;6535,7;;2442,2;2395,0;3830,8;;1403,0;2253,0;4523,9;;2134,0;4241,6;8333,3;;175,0;366,0;562,4;;716,0;1865,6;3534,4;;485,0;1037,0;1686,4;;758,0;973,0;2550,1;;7210,2;7667,0;8309,5;;1003,0;1450,0;1190,0;;3605,0;3579,0;3001,3;;1957,2;1358,0;2144,4;;645,0;1280,0;1973,8;;
1418000;"Powiat piaseczyński";48374,7;54081,6;34630,9;;4178,7;5147,5;4195,6;;15465,0;14760,9;11653,2;;10100,5;12369,9;6328,0;;18630,5;21803,3;12454,1;;21996,2;20126,1;3242,9;;281,8;313,9;0,0;;4513,6;3077,1;720,1;;5061,9;5335,9;0,0;;12138,9;11399,2;2377,7;;26378,5;33955,5;31388,0;;3896,9;4833,6;4124,3;;10951,4;11683,8;10933,1;;5038,6;7034,0;6254,2;;6491,6;10404,1;10076,4;;
1419000;"Powiat płocki";1796,3;2661,7;1875,8;;361,7;416,3;383,6;;486,7;1526,9;998,4;;757,5;521,1;398,6;;0,0;0,0;0,0;;331,4;945,7;384,3;;0,0;0,0;0,0;;0,0;842,9;0,0;;0,0;0,0;190,7;;0,0;0,0;0,0;;1464,9;1716,0;1491,5;;322,5;377,1;383,6;;384,9;684,0;900,0;;757,5;457,5;207,9;;0,0;0,0;0,0;;
1420000;"Powiat płoński";7087,2;7198,7;6349,8;;1018,5;1308,9;1484,2;;3088,7;3937,3;3429,6;;2145,7;1657,5;1214,0;;834,3;295,0;0,0;;3047,8;4335,1;1248,8;;256,0;611,3;148,7;;1270,2;2530,1;1039,4;;977,8;1193,7;0,0;;543,8;0,0;0,0;;4039,4;2863,6;5101,0;;762,5;697,6;1335,5;;1818,5;1407,2;2390,2;;1167,9;463,8;1153,3;;290,5;295,0;0,0;;
1421000;"Powiat pruszkowski";41682,2;55883,1;85590,9;;3404,3;5151,9;11252,0;;15771,5;19393,5;36133,8;;9992,3;10022,8;16434,5;;12514,1;21314,9;21770,6;;24580,7;36819,7;62433,7;;1167,4;2560,5;8943,5;;8388,8;12247,5;26816,1;;6493,1;6465,8;11268,6;;8531,4;15545,9;15405,5;;17101,5;19063,4;23157,2;;2236,9;2591,4;2308,5;;7382,7;7146,0;9317,7;;3499,2;3557,0;5165,9;;3982,7;5769,0;6365,1;;
1422000;"Powiat przasnyski";4729,6;2868,3;7078,4;;719,2;542,5;625,9;;1837,9;1021,5;3437,2;;1990,1;1113,5;2687,0;;0,0;0,0;328,3;;2455,0;307,4;3046,6;;126,0;0,0;113,4;;892,0;0,0;1537,2;;1437,0;0,0;1234,0;;0,0;0,0;0,0;;2274,6;2560,9;4031,8;;593,2;542,5;512,5;;945,9;970,7;1900,0;;553,1;1047,7;1453,0;;0,0;0,0;0,0;;
1423000;"Powiat przysuski";427,0;774,1;806,2;;0,0;115,8;233,0;;193,0;208,5;511,0;;196,0;338,7;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;427,0;774,1;806,2;;0,0;115,8;233,0;;193,0;208,5;511,0;;196,0;338,7;0,0;;0,0;0,0;0,0;;
1424000;"Powiat pułtuski";5436,2;7144,5;6032,1;;1255,0;985,3;1015,2;;2365,5;3722,4;3740,6;;1598,8;2187,0;1103,0;;0,0;249,8;0,0;;3371,9;4434,1;3175,9;;758,7;492,8;535,2;;1726,4;2502,1;2321,9;;886,8;1439,2;318,8;;0,0;0,0;0,0;;2064,3;2710,4;2856,2;;496,3;492,5;480,0;;639,1;1220,3;1418,7;;712,0;747,8;784,2;;0,0;249,8;0,0;;
1425000;"Powiat radomski";2586,3;2365,0;5012,9;;439,2;527,5;876,2;;1518,7;1166,5;2757,4;;465,2;671,0;1299,2;;0,0;0,0;0,0;;0,0;0,0;406,1;;0,0;0,0;0,0;;0,0;0,0;165,8;;0,0;0,0;201,1;;0,0;0,0;0,0;;2586,3;2365,0;4606,8;;439,2;527,5;837,0;;1518,7;1166,5;2591,6;;465,2;671,0;1098,1;;0,0;0,0;0,0;;
1426000;"Powiat siedlecki";479,9;697,2;1247,6;;73,4;0,0;93,6;;139,5;197,2;0,0;;0,0;0,0;226,4;;0,0;500,0;825,8;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;479,9;697,2;1247,6;;73,4;0,0;93,6;;139,5;197,2;0,0;;0,0;0,0;226,4;;0,0;500,0;825,8;;
1427000;"Powiat sierpecki";2693,7;2412,8;5595,6;;327,5;534,8;489,5;;1582,2;1044,3;4011,2;;531,5;659,2;901,8;;252,5;0,0;0,0;;0,0;0,0;3751,6;;0,0;0,0;175,7;;0,0;0,0;3081,3;;0,0;0,0;494,6;;0,0;0,0;0,0;;2693,7;2412,8;1844,0;;327,5;534,8;313,8;;1582,2;1044,3;929,9;;531,5;659,2;407,2;;252,5;0,0;0,0;;
1428000;"Powiat sochaczewski";5352,0;6433,9;7535,4;;1329,4;1506,7;1421,6;;2136,0;2910,6;3535,0;;1304,5;1924,8;2102,9;;582,1;0,0;475,9;;0,0;309,7;0,0;;0,0;101,6;0,0;;0,0;208,1;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;5246,6;6124,2;7472,4;;1329,4;1405,1;1421,6;;2030,6;2702,5;3535,0;;1304,5;1924,8;2039,9;;582,1;0,0;475,9;;
1429000;"Powiat sokołowski";5683,5;3977,6;8412,8;;869,3;424,5;1140,1;;3202,7;2358,4;5346,8;;1446,6;1194,7;1638,4;;0,0;0,0;287,5;;1973,1;2207,9;2119,1;;140,8;178,4;179,8;;1098,3;1294,2;1108,9;;734,0;735,3;830,4;;0,0;0,0;0,0;;3710,4;1769,7;6293,7;;728,5;246,1;960,3;;2104,4;1064,2;4237,9;;712,6;459,4;808,0;;0,0;0,0;287,5;;
1430000;"Powiat szydłowiecki";856,0;1030,2;2909,6;;184,2;270,3;371,2;;469,5;492,9;1381,5;;202,3;267,0;1156,9;;0,0;0,0;0,0;;0,0;0,0;152,4;;0,0;0,0;110,2;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;856,0;922,6;2757,2;;184,2;270,3;261,0;;469,5;385,3;1339,3;;202,3;267,0;1156,9;;0,0;0,0;0,0;;
1432000;"Powiat warszawski zachodni";35857,1;18643,3;38487,9;;3117,2;1778,7;1083,1;;12410,7;6021,0;6461,8;;6844,6;4193,6;8843,1;;13484,6;6650,0;22099,9;;22417,9;10009,2;26290,6;;2091,4;826,6;489,8;;8115,8;3265,5;3614,2;;3822,7;2178,5;6703,6;;8388,0;3738,6;15483,0;;13439,2;8634,1;12197,3;;1025,8;952,1;593,3;;4294,9;2755,5;2847,6;;3021,9;2015,1;2139,5;;5096,6;2911,4;6616,9;;
1433000;"Powiat węgrowski";1437,0;1210,0;3780,0;;212,0;259,0;342,0;;438,0;659,0;2184,0;;787,0;208,0;951,0;;0,0;0,0;303,0;;207,0;0,0;2233,0;;0,0;0,0;0,0;;0,0;0,0;1679,0;;0,0;0,0;517,0;;0,0;0,0;0,0;;1230,0;1150,0;1547,0;;178,0;259,0;305,0;;389,0;599,0;505,0;;663,0;208,0;434,0;;0,0;0,0;303,0;;
1434000;"Powiat wołomiński";74701,7;106332,4;101476,9;;6268,4;7386,6;8216,1;;20997,9;25955,9;21555,2;;20026,1;30485,5;36254,3;;27409,3;42504,4;35451,3;;44917,0;78947,5;69047,9;;3017,3;3586,6;3311,6;;10147,8;16052,8;7796,0;;13324,1;23735,4;28513,1;;18427,8;35572,7;29427,2;;29784,7;27384,9;32429,0;;3251,1;3800,0;4904,5;;10850,1;9903,1;13759,2;;6702,0;6750,1;7741,2;;8981,5;6931,7;6024,1;;
1435000;"Powiat wyszkowski";2734,0;7060,8;6484,1;;546,0;1000,6;1187,8;;1512,0;3213,1;2600,8;;676,0;2466,8;2383,9;;0,0;380,3;311,6;;0,0;701,2;3837,1;;0,0;0,0;642,7;;0,0;0,0;1530,2;;0,0;701,2;1581,3;;0,0;0,0;0,0;;2706,0;6359,6;2647,0;;518,0;1000,6;545,1;;1512,0;3213,1;1070,6;;676,0;1765,6;802,6;;0,0;380,3;0,0;;
1436000;"Powiat zwoleński";327,4;155,7;653,9;;101,0;0,0;103,2;;0,0;0,0;490,2;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;327,4;155,7;653,9;;101,0;0,0;103,2;;0,0;0,0;490,2;;0,0;0,0;0,0;;0,0;0,0;0,0;;
1437000;"Powiat żuromiński";1515,0;4516,2;3049,8;;171,0;488,2;514,5;;929,3;2173,8;1041,1;;229,5;1496,3;920,5;;0,0;357,9;573,7;;215,3;2434,3;1255,3;;0,0;141,4;311,4;;150,7;1284,0;166,2;;0,0;910,4;397,8;;0,0;0,0;379,9;;1299,7;2081,9;1794,5;;106,4;346,8;203,1;;778,6;889,8;874,9;;229,5;585,9;522,7;;0,0;0,0;0,0;;
1438000;"Powiat żyrardowski";7240,5;8710,0;14422,2;;2136,5;1959,0;3111,2;;3047,0;4319,0;7653,0;;1676,0;1862,0;2935,0;;381,0;570,0;723,0;;1857,0;2887,0;7668,0;;360,0;533,0;998,0;;1058,0;1689,0;4555,0;;439,0;360,0;1492,0;;0,0;305,0;623,0;;5383,5;5823,0;6754,2;;1776,5;1426,0;2113,2;;1989,0;2630,0;3098,0;;1237,0;1502,0;1443,0;;381,0;265,0;0,0;;
1461000;"Powiat m.Ostrołęka";7006,3;12870,9;12024,0;;1243,7;1839,2;1677,0;;3530,6;6668,5;6787,5;;2045,1;3772,5;2627,3;;0,0;590,7;932,2;;1337,2;6145,7;6111,0;;0,0;465,8;635,4;;570,0;3465,2;4092,5;;699,5;2033,1;724,6;;0,0;0,0;658,5;;5669,1;6725,2;5913,0;;1176,0;1373,4;1041,6;;2960,6;3203,3;2695,0;;1345,6;1739,4;1902,7;;0,0;409,1;273,7;;
1462000;"Powiat m.Płock";30176,0;29395,4;40634,9;;5405,0;5474,1;9095,3;;13966,0;15452,7;19237,1;;8483,0;7354,9;9290,3;;2322,0;1113,7;3012,2;;12660,0;9926,7;23192,5;;1145,0;824,2;4307,7;;5471,0;5054,4;11120,9;;4635,0;3545,3;6184,1;;1409,0;502,8;1579,8;;17516,0;19468,7;17442,4;;4260,0;4649,9;4787,6;;8495,0;10398,3;8116,2;;3848,0;3809,6;3106,2;;913,0;610,9;1432,4;;
1463000;"Powiat m.Radom";21535,3;28736,6;47644,4;;2863,8;4760,7;7593,6;;9506,8;11706,3;23523,6;;7009,7;8500,8;13739,6;;2155,0;3768,8;2787,6;;8426,6;9159,4;18617,5;;1314,1;1447,9;1470,5;;3706,0;2438,3;8319,3;;2815,8;3354,2;7117,8;;590,7;1919,0;1709,9;;13108,7;19577,2;29026,9;;1549,7;3312,8;6123,1;;5800,8;9268,0;15204,3;;4193,9;5146,6;6621,8;;1564,3;1849,8;1077,7;;
1464000;"Powiat m.Siedlce";34714,3;37142,6;35387,1;;4836,7;5145,8;5843,7;;17389,0;20258,8;18560,0;;11394,5;8530,2;8187,4;;1094,1;3207,8;2796,0;;15953,1;17774,0;15992,6;;2429,5;2512,4;2078,9;;8131,3;9901,4;8602,1;;5027,6;4119,1;3604,5;;364,7;1241,1;1707,1;;18761,2;19368,6;19394,5;;2407,2;2633,4;3764,8;;9257,7;10357,4;9957,9;;6366,9;4411,1;4582,9;;729,4;1966,7;1088,9;;
1465000;"Powiat m. st. Warszawa";1241074,8;1375351,3;1287772,0;;176340,6;190548,1;187040,7;;477566,0;571616,0;516675,9;;290060,4;323482,8;320663,7;;297107,8;289704,4;263391,7;;617176,9;702632,6;534488,5;;66801,3;80269,6;65025,0;;245110,0;315659,6;218331,9;;158588,7;178699,0;148615,5;;146676,9;128004,4;102516,1;;623897,9;672718,7;753283,5;;109539,3;110278,5;122015,7;;232456,0;255956,4;298344,0;;131471,7;144783,8;172048,2;;150430,9;161700,0;160875,6;;
